credito_id_anon,cliente_id_anon,fecha_desembolso,numero_cuota,dias_retraso,fecha_t_pago,fecha_pago,valor_pagado,estatus_credito,ciudad,sexo,tipo_de_negocio,origen,max_dias_retraso,target
59a55e5140d9,5b4b739391cd,2021-10-29,1,0.0,2021-11-27,2021-11-27,137000.0,PAGO,LOC_218,0,SEC_33,CANAL_17,0.0,1.0
59a55e5140d9,5b4b739391cd,2021-10-29,2,0.0,2021-12-27,2021-12-17,137000.0,PAGO,LOC_218,0,SEC_33,CANAL_17,0.0,1.0
59a55e5140d9,5b4b739391cd,2021-10-29,3,0.0,2022-01-26,2022-01-20,137000.0,PAGO,LOC_218,0,SEC_33,CANAL_17,0.0,1.0
59a55e5140d9,5b4b739391cd,2021-10-29,4,0.0,2022-02-25,2022-02-21,137000.0,PAGO,LOC_218,0,SEC_33,CANAL_17,0.0,1.0
59a55e5140d9,5b4b739391cd,2021-10-29,5,0.0,2022-03-27,2022-03-23,137000.0,PAGO,LOC_218,0,SEC_33,CANAL_17,0.0,1.0
59a55e5140d9,5b4b739391cd,2021-10-29,6,0.0,2022-04-26,2022-04-21,137000.0,PAGO,LOC_218,0,SEC_33,CANAL_17,0.0,1.0
59a55e5140d9,5b4b739391cd,2021-10-29,7,0.0,2022-05-26,2022-05-23,137000.0,PAGO,LOC_218,0,SEC_33,CANAL_17,0.0,1.0
59a55e5140d9,5b4b739391cd,2021-10-29,8,0.0,2022-06-25,2022-06-23,137000.0,PAGO,LOC_218,0,SEC_33,CANAL_17,0.0,1.0
adb402d5b2e7,7a84cd72182f,2021-12-03,1,1.0,2022-01-03,2022-01-04,179000.0,ACTIVO,LOC_218,0,SEC_69,CANAL_17,802.0,0.0
adb402d5b2e7,7a84cd72182f,2021-12-03,2,15.0,2022-02-02,2022-02-17,300000.0,ACTIVO,LOC_218,0,SEC_69,CANAL_17,802.0,0.0
adb402d5b2e7,7a84cd72182f,2021-12-03,3,802.0,2022-03-04,,0.0,ACTIVO,LOC_218,0,SEC_69,CANAL_17,802.0,0.0
adb402d5b2e7,7a84cd72182f,2021-12-03,4,772.0,2022-04-03,,0.0,ACTIVO,LOC_218,0,SEC_69,CANAL_17,802.0,0.0
adb402d5b2e7,7a84cd72182f,2021-12-03,5,742.0,2022-05-03,,0.0,ACTIVO,LOC_218,0,SEC_69,CANAL_17,802.0,0.0
adb402d5b2e7,7a84cd72182f,2021-12-03,6,712.0,2022-06-02,,0.0,ACTIVO,LOC_218,0,SEC_69,CANAL_17,802.0,0.0
ddff938ed82d,fc0fa30eaae3,2021-12-04,1,0.0,2022-01-03,2022-01-03,173659.0,PAGO,LOC_218,0,SEC_72,CANAL_17,26.0,1.0
ddff938ed82d,fc0fa30eaae3,2021-12-04,2,0.0,2022-02-02,2022-02-02,173659.0,PAGO,LOC_218,0,SEC_72,CANAL_17,26.0,1.0
ddff938ed82d,fc0fa30eaae3,2021-12-04,3,26.0,2022-03-04,2022-03-30,173659.0,PAGO,LOC_218,0,SEC_72,CANAL_17,26.0,1.0
