credito_id_anon,max_dias_retraso,target
00009bb8a4e3,14.0,1.0
0003d5118666,146.0,0.0
000f476ecfa0,0.0,1.0
000fbabf7567,268.0,0.0
00125aa97a2d,2.0,1.0
0012f75c56e1,24.0,1.0
001442aa0838,556.0,0.0
001a7eac0ca8,9.0,1.0
0034818099d7,464.0,0.0
00418fdea14c,0.0,1.0
004c0e120edc,0.0,1.0
004ccd935abd,9.0,1.0
0056c97bad78,4.0,1.0
0060e7c0cc54,146.0,0.0
0068d67e10fc,8.0,1.0
006c6d38ab37,0.0,1.0
006c6f5f9f9d,24.0,1.0
007bdf4f67f8,329.0,0.0
007e84e7595e,99.0,0.0
0080156842bb,23.0,1.0
00807df3e4c7,17.0,1.0
0080b6b797ac,71.0,0.0
00837eec76c9,0.0,1.0
0085a8cb89c4,0.0,1.0
008f0e9e2fee,4.0,1.0
0092078e0dbc,0.0,1.0
00a294848c40,511.0,0.0
00a335dfcfb4,436.0,0.0
00a5e5d3eecb,0.0,1.0
00a7bae7a13b,669.0,0.0
00b04f933a57,3.0,1.0
00b8ae99c4cf,360.0,0.0
00c47911a578,3.0,1.0
00c76a77228a,24.0,1.0
00cd8a78ee47,9.0,1.0
00dae0f659b7,344.0,0.0
00df9ef6c72e,268.0,0.0
00dff0d520ad,0.0,1.0
00e3e78c3eba,0.0,1.0
00ea6baf7787,556.0,0.0
00f212ec2c27,299.0,0.0
00f380f54973,41.0,
00f6dfdb98f4,0.0,1.0
00fac87e3056,3.0,1.0
0106a5e9308f,0.0,1.0
010db4725525,84.0,0.0
01151baa9d9e,0.0,1.0
01192e7415f1,449.0,0.0
011aefaf235b,5.0,1.0
011d82af2027,207.0,0.0
0123c0dd4cda,72.0,0.0
0123f12d4017,0.0,1.0
0134dcfcb5c8,42.0,
01435b867a6c,526.0,0.0
0144602e2e32,36.0,
014cfaf0e47d,84.0,0.0
01625777fd48,0.0,1.0
0163ded997c4,29.0,1.0
01651360d535,176.0,0.0
016b18cf4e8a,222.0,0.0
0188bb8ebdce,1.0,1.0
018a52a13d4d,0.0,1.0
019879d95e74,2.0,1.0
01a789aff21d,299.0,0.0
01a7c73eefb5,84.0,0.0
01b5e532c4ed,299.0,0.0
01bc6b76f609,360.0,0.0
01be27b68643,0.0,1.0
01be48fd751a,55.0,
01c37c36fbdc,9.0,1.0
01c830377597,572.0,0.0
01d87f4fa976,314.0,0.0
01eab1e26d42,0.0,1.0
01ed8b3d6294,5.0,1.0
01ee28824eb4,344.0,0.0
01f08c04b443,511.0,0.0
01f282c14202,0.0,1.0
01f555a44c46,0.0,1.0
020ccc45bce3,207.0,0.0
021524a8bc22,0.0,1.0
021f5f02cd76,0.0,1.0
02225dd259c6,375.0,0.0
02235db66545,0.0,1.0
02296db49398,185.0,0.0
022b3d080985,0.0,1.0
022bf7403f73,20.0,1.0
022ea0880d2e,436.0,0.0
0232ba2b938a,0.0,1.0
02376acfff0f,526.0,0.0
023ae9da2835,541.0,0.0
023d3c348bb3,0.0,1.0
0246676c351b,0.0,1.0
024783012db9,10.0,1.0
0258f1f78a93,436.0,0.0
0259c6c9431c,7.0,1.0
026753725c18,84.0,0.0
0269b2953d8d,375.0,0.0
026a99071225,0.0,1.0
027a15b0fd39,2.0,1.0
027e2c232b5a,0.0,1.0
027f2f222436,23.0,1.0
0287bfce4fb0,207.0,0.0
02883443b6c8,12.0,1.0
028a779c9e1b,495.0,0.0
029083c5930c,40.0,
0295050b339e,28.0,1.0
0295ee8faed3,436.0,0.0
02a570cb6bb2,480.0,0.0
02a718cec1d6,84.0,0.0
02ae8da0c9c6,421.0,0.0
02afdd3f3590,592.0,0.0
02b22ef7409c,161.0,0.0
02b4510e2693,12.0,1.0
02b5e824157f,14.0,1.0
02bb36b6392a,436.0,0.0
02bcd0cd48ea,464.0,0.0
02c04af8f78f,3.0,1.0
02d6090cab30,4.0,1.0
02d804c0ab5c,0.0,1.0
02da030b6d0c,4.0,1.0
02dc700dd770,130.0,0.0
02fa0797257f,0.0,1.0
0305318622e6,9.0,1.0
0308010af719,98.0,0.0
0313800b93d6,9.0,1.0
03141a8f6a73,11.0,1.0
03183f11b44b,314.0,0.0
03189976953c,375.0,0.0
0322b7cc1fe0,495.0,0.0
03283f158b0f,55.0,
032acbeee43d,329.0,0.0
0335d41da2a5,541.0,0.0
033bed481769,55.0,
033c17312155,133.0,0.0
033d07cbdb02,9.0,1.0
0341b7d9405a,45.0,
03421b613d7b,541.0,0.0
034f1892538d,1.0,1.0
03569d9a67b2,10.0,1.0
0359b01e3e40,2.0,1.0
035e6fbd377e,464.0,0.0
035ff96752f5,146.0,0.0
0365ff51a5ee,0.0,1.0
036c06688c3b,572.0,0.0
037cae231d26,449.0,0.0
038f3b98f744,10.0,1.0
03910ab6daf6,55.0,
0394149d9de9,2.0,1.0
039d38b49d98,0.0,1.0
039e4dd10d27,24.0,1.0
039e88bc053c,21.0,1.0
039f88e30f79,12.0,1.0
03ab2f3bd649,24.0,1.0
03ac251ded76,207.0,0.0
03af54d5867c,511.0,0.0
03b4b98fc3e7,0.0,1.0
03b7af4c0443,572.0,0.0
03c118e38c2b,0.0,1.0
03c3b6269a8e,607.0,0.0
03c4206d7023,9.0,1.0
03cc03b2fd16,0.0,1.0
03d652a89141,0.0,1.0
03efb0b4a893,32.0,
03efc43ccdbd,607.0,0.0
