agg308,wd81,agg2503,utlmag04,duemag01,aepmag01,bi21s,lmd34s,ri27s,rle904,tel32s,tranbal09,at104s,sa21s,at103s,tel03s,at34af,g051s,agg9316,wd03,credits_subcategory,appusers_gender_male,1_cluster_mas_cercano,2_cluster_mas_cercano,3_cluster_mas_cercano,1_cluster_mas_lejano,2_cluster_mas_lejano,3_cluster_mas_lejano,target,set,fecha_desembolso,credito_id_anon
176.0,8.0,-1.0,-2.0,292.0,-2.0,-1.0,-1.0,-3.0,-1.0,-3.0,-1.0,20.0,50.0,-3.0,-3.0,-3.0,20.0,176.0,8.0,SUB_37,0.0,30,66,6,5,0,2,1.0,train,2022-07-05,73022be2cc84
233.0,5.0,-1.0,300.0,300.0,-2.0,-1.0,-1.0,0.0,-1.0,63.0,-1.0,13.0,3.0,0.0,0.0,100.0,67.0,233.0,5.0,SUB_21,0.0,52,19,28,5,0,33,0.0,train,2022-07-06,7d86b61f165c
1306.0,385.0,-1.0,530.0,564.0,-2.0,36.0,-3.0,1.0,-1.0,0.0,-2.0,4.0,11.0,75.0,1.0,298.0,26.0,115.0,1.93,SUB_16,0.0,12,68,9,5,49,10,0.0,train,2022-07-06,4fd14dfabb89
3339.0,6.42,-2.0,471.0,412.0,-2.0,2.0,-1.0,-3.0,-1.0,260.0,-2.0,39.0,2.0,100.0,4.0,103.0,9.0,1222.0,4.92,SUB_12,0.0,16,52,28,5,0,2,1.0,train,2022-07-06,12fb9af61dc4
6280.0,4.89,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,-1.0,-1.0,1670.0,76.0,3.0,100.0,-1.0,92.0,17.0,116.0,4.5,SUB_12,1.0,49,10,53,5,3,4,1.0,train,2022-07-06,1ffbaf490cc1
305.0,11.0,-2.0,-2.0,280.0,-2.0,17.0,-3.0,-3.0,-1.0,290.0,-2.0,52.0,8.0,80.0,1.0,95.0,18.0,290.0,0.14,SUB_37,1.0,19,14,28,5,0,33,0.0,train,2022-07-06,f83f3b7580d7
603.0,5.0,-1.0,-2.0,277.0,-2.0,-1.0,-1.0,-1.0,-1.0,-3.0,-1.0,75.0,34.0,100.0,-3.0,-3.0,40.0,85.0,5.29,SUB_32,0.0,40,63,7,5,4,1,0.0,train,2022-07-06,8d0b88d2d48a
59.0,8.0,-1.0,-2.0,300.0,-2.0,-1.0,-1.0,-1.0,-1.0,357.0,-1.0,43.0,23.0,0.0,0.0,-1.0,100.0,791.0,7.58,SUB_21,1.0,-1,-1,-1,-1,-1,-1,1.0,train,2022-07-08,e18a3cfeade0
9788.0,7.6,-1.0,526.0,442.0,-2.0,69.0,-1.0,1.0,-1.0,-3.0,-1.0,8.0,10.0,67.0,-3.0,266.0,26.0,3154.0,7.55,SUB_30,0.0,35,51,31,5,0,2,1.0,train,2022-07-08,a085ee41fa62
110.0,8.0,-1.0,300.0,354.0,-2.0,-1.0,-1.0,1.0,-1.0,-1.0,-2.0,67.0,4.0,100.0,-1.0,-5.0,67.0,110.0,8.0,SUB_12,1.0,53,27,49,5,3,14,0.0,train,2022-07-08,3e9392293a60
1135.0,5.94,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-6.0,-1.0,0.0,1737.0,100.0,14.0,100.0,2.0,90.0,50.0,0.0,1.62,SUB_12,0.0,10,41,49,5,2,4,1.0,train,2022-07-08,c2a59b2adafc
1969.0,772.0,-1.0,421.0,458.0,-2.0,-1.0,-1.0,2.0,-1.0,259.0,-1.0,0.0,21.0,40.0,0.0,-5.0,36.0,1120.0,7.87,SUB_12,1.0,6,30,11,5,0,2,0.0,train,2022-07-08,f9ca17a53bb6
110.0,5.0,-6.0,-6.0,-6.0,-6.0,-4.0,-4.0,-4.0,-6.0,-4.0,-6.0,-4.0,11.0,-4.0,-4.0,-4.0,67.0,-2.0,4.0,SUB_37,0.0,32,21,4,5,49,31,0.0,train,2022-07-11,bb8735411b42
28527.0,5.0,-1.0,422.0,405.0,-2.0,2.0,-1.0,1.0,-1.0,0.0,-1.0,43.0,2.0,100.0,4.0,101.0,24.0,168.0,5.01,SUB_12,1.0,53,27,49,5,3,14,0.0,train,2022-07-11,1a9d5b4b0269
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SUB_12,0.0,10,49,41,5,2,4,0.0,train,2022-07-11,b8bb6cacf6f5
0.0,0.0,-1.0,-2.0,-2.0,-2.0,-1.0,-1.0,-3.0,-1.0,-1.0,-2.0,11.0,10.0,-3.0,-1.0,-3.0,40.0,-2.0,0.0,SUB_32,1.0,43,59,46,5,0,33,0.0,train,2022-07-11,842575183095
286.0,0.05,-1.0,-2.0,323.0,-2.0,-1.0,-1.0,-6.0,-1.0,-1.0,-1.0,50.0,2.0,100.0,-1.0,100.0,50.0,0.0,0.03,SUB_20,1.0,46,63,47,5,0,4,1.0,train,2022-07-11,6acd7eb1225a
0.0,6.47,-1.0,-1.0,-1.0,-1.0,5.0,98.0,-1.0,-1.0,547.0,708.0,60.0,36.0,100.0,2.0,92.0,33.0,0.0,0.0,SUB_21,0.0,30,6,66,5,0,2,1.0,train,2022-07-11,9c461f884bdf
0.0,0.0,-1.0,-1.0,300.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,20.0,19.0,100.0,2.0,-3.0,0.0,0.0,0.0,SUB_37,1.0,19,14,28,5,0,33,1.0,train,2022-07-11,ae017380602c
-2.0,-7.0,-1.0,-2.0,299.0,-2.0,-1.0,-1.0,-2.0,-1.0,151.0,-1.0,18.0,11.0,75.0,3.0,-2.0,40.0,207.0,6.1,SUB_21,1.0,37,20,55,5,3,0,1.0,train,2022-07-12,0d0145391907
5140.0,8.0,0.0,345.0,328.0,-2.0,1.0,-1.0,-3.0,-1.0,-3.0,-2.0,33.0,14.0,100.0,-3.0,90.0,40.0,1134.0,8.0,SUB_30,1.0,23,15,57,5,3,11,0.0,train,2022-07-12,62052a006c5b
817.0,5.0,-1.0,401.0,434.0,-2.0,-1.0,-1.0,-6.0,-1.0,309.0,-1.0,80.0,16.0,33.0,0.0,56.0,50.0,309.0,5.19,SUB_33,0.0,6,30,11,5,0,2,0.0,train,2022-07-12,810a0069e33b
0.0,0.78,7.0,281.0,331.0,303.0,9.0,96.0,-6.0,-1.0,212.0,2959.0,73.0,4.0,91.0,4.0,98.0,14.0,0.0,0.03,SUB_21,0.0,6,30,11,5,0,2,1.0,train,2022-07-12,6b3fa27beaef
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SUB_12,0.0,41,10,49,5,2,0,1.0,train,2022-07-13,6a7b013ea58c
1666.0,8.0,-1.0,-2.0,308.0,-2.0,68.0,-1.0,-3.0,-1.0,0.0,-2.0,17.0,2.0,100.0,1.0,-3.0,44.0,1666.0,8.0,SUB_17,1.0,46,7,59,5,0,11,0.0,train,2022-07-13,f6df692019aa
-2.0,4.0,-1.0,300.0,300.0,-2.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,3.0,0.0,-1.0,39.0,100.0,232.0,-7.0,SUB_30,0.0,58,38,45,5,0,3,0.0,train,2022-07-13,825c295fe338
-2.0,6.05,-1.0,323.0,322.0,-2.0,-1.0,-1.0,-6.0,-1.0,94.0,-2.0,78.0,1.0,100.0,5.0,101.0,63.0,0.0,2.8,SUB_33,0.0,32,48,56,5,49,31,1.0,train,2022-07-13,0f39e95e7bab
1987.0,2.93,-1.0,-1.0,-1.0,-1.0,249.0,-1.0,-6.0,-2.0,0.0,-2.0,64.0,80.0,100.0,2.0,93.0,29.0,0.0,1.58,SUB_23,1.0,6,30,11,5,0,2,1.0,train,2022-07-13,fbcfa4bcb22c
499.0,521.0,-1.0,-2.0,300.0,-2.0,-1.0,-1.0,0.0,-1.0,225.0,-1.0,0.0,28.0,0.0,0.0,-5.0,100.0,689.0,5.72,SUB_21,0.0,6,30,11,5,0,2,0.0,train,2022-07-14,253115112eee
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SUB_21,0.0,16,46,52,5,0,2,1.0,train,2022-07-14,cb0607ecf732
0.0,0.0,-1.0,275.0,276.0,299.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,60.0,51.0,100.0,-1.0,84.0,5.0,250.0,0.0,SUB_21,0.0,-1,-1,-1,-1,-1,-1,1.0,train,2022-07-14,869a6157d722
0.0,0.0,-1.0,-2.0,300.0,-2.0,-1.0,-1.0,-3.0,-1.0,368.0,-1.0,0.0,14.0,0.0,0.0,-3.0,25.0,368.0,7.0,SUB_21,0.0,66,16,30,5,0,15,0.0,train,2022-07-14,3fc751ce292b
1535.0,7.18,-1.0,-2.0,358.0,-2.0,7.0,-1.0,-6.0,-1.0,57.0,-1.0,75.0,2.0,100.0,1.0,94.0,78.0,296.0,6.31,SUB_20,0.0,15,23,13,5,3,11,1.0,train,2022-07-14,2d941d7fbbd3
5906.0,6.21,-2.0,298.0,318.0,-2.0,-1.0,-1.0,1.0,-1.0,0.0,-2.0,14.0,25.0,83.0,2.0,20.0,9.0,5046.0,7.76,SUB_33,0.0,12,9,43,5,15,23,0.0,train,2022-07-14,fba771845395
53.0,8.0,-2.0,-2.0,300.0,-2.0,-1.0,-1.0,-3.0,-1.0,29.0,-2.0,25.0,1.0,100.0,1.0,-3.0,67.0,0.0,8.0,SUB_21,0.0,37,64,55,5,0,2,1.0,train,2022-07-14,28e6195b7f26
0.0,648.0,-1.0,323.0,314.0,-2.0,1.0,-1.0,-6.0,-1.0,0.0,-1.0,63.0,3.0,100.0,2.0,102.0,25.0,114.0,0.0,SUB_37,0.0,69,47,7,5,0,1,0.0,train,2022-07-15,af361fac7922
1661.0,8.0,-1.0,300.0,321.0,-2.0,77.0,-1.0,0.0,-1.0,43.0,-1.0,13.0,2.0,0.0,0.0,100.0,56.0,1667.0,7.44,SUB_33,0.0,19,28,52,5,0,2,0.0,train,2022-07-15,9ad7f0c08100
1868.0,1.33,-1.0,-1.0,-1.0,-1.0,9.0,-1.0,-2.0,-1.0,0.0,-1.0,71.0,6.0,100.0,2.0,81.0,40.0,971.0,6.44,SUB_37,0.0,4,32,1,5,49,10,1.0,train,2022-07-15,a57c0035b067
901.0,7.27,-2.0,309.0,328.0,-2.0,-1.0,-1.0,-6.0,-1.0,0.0,-1.0,15.0,22.0,100.0,1.0,100.0,22.0,0.0,2.24,SUB_21,0.0,64,46,16,5,0,2,1.0,train,2022-07-15,0e5133767732
