codigo,definicion_oficial_CreditVision,uso,ventana_tiempo,tipo_valor
agg308,Monto en mora agregado de obligaciones no hipotecarias en créditos financieros al mes M = 08,Mora,8 Meses,$ Miles
wd81,Mora ponderada en créditos financieros en el mes M = 01,Mora,1 Mes,Porcentaje
agg2503,Plazo Inferido (relación de saldo sobre la cuota minima) agregado en el mes M=03,Plazo Inferido,3 Meses,Cantidad
utlmag04,Magnitud de utilización de obligaciones retail en los últimos 24 meses (índice que mide la tendencia de 0 a 600),Utilización,24 Meses,Índice
duemag01,Magnitud total de todas las obligaciones en los últimos 24 meses (índice que mide la tendencia de 0 a 600),Otro,24 Meses,Índice
aepmag01,Magnitud del exceso de Pago Inferido agregado no hipotecario en los últimos 24 meses (índice que mide la tendencia de 0 a 600),Pago Inferido,24 Meses,Índice
bi21s,Meses desde la más reciente apertura bancaria en instalamentos,Apertura,,Meses
lmd34s,Utilización de obligaciones bancarias vigentes sin garantía de mediano plazo reportadas en los últimos 12 meses,Utilización,12 Meses,Porcentaje
ri27s,Número de obligaciones actualmente vigentes y al día de retail instalamentos con 24 meses o más de antigüedad,Cuentas,24 Meses,Cantidad
rle904,Exceso de Pago Inferido en cuentas de hipotecario en los últimos 6 meses,Pago Inferido,6 Meses,$ Miles con 3 decimales
tel32s,Saldo máximo en obligaciones vigentes de telecomunicaciones reportadas en los últimos 12 meses,Saldo,12 Meses,$ Miles con 3 decimales
tranbal09,Saldo asignado a obligaciones identificadas como transactor al mes 9,Saldo,9 Meses,$ Miles con 3 decimales
at104s,Porcentaje de obligaciones aperturadas en los últimos 24 meses sobre el total de obligaciones,Apertura,24 Meses,Porcentaje
sa21s,Meses desde la más reciente cuenta de ahorros aperturada,Apertura,,Meses
at103s,Porcentaje de obligaciones vigentes y al día del total de obligaciones,Cuentas,,Porcentaje
tel03s,Número de obligaciones vigentes al día de telecomunicaciones,Cuentas,,Cantidad
at34af,Utilización de obligaciones vigentes reportadas en los últimos 12 meses en créditos financieros,Utilización,12 Meses,Porcentaje
g051s,Porcentaje de obligaciones que alguna vez estuvo en mora,Mora,,Porcentaje
agg9316,Monto agregado en mora al mes M = 16,Mora,16 Meses,$ Miles
wd03,Mora ponderada en las obligaciones en el mes M = 06,Mora,6 Meses,Porcentaje
