codigo,coeficiente_estandarizado,razon_de_odds_por_desvio,valor_absoluto,C_seleccionado
appusers_age,-0.20373312238835978,0.8156800288799884,0.20373312238835978,10.0
at103s,-0.10460664241298882,0.9006787417308237,0.10460664241298882,10.0
tel03s,-0.10004411494624157,0.9047975020623575,0.10004411494624157,10.0
credits_dependants_amount,-0.09140297781986019,0.9126498591356628,0.09140297781986019,10.0
ri27s,-0.09034263097576806,0.9136180977772336,0.09034263097576806,10.0
at34af,-0.0675573079075089,0.9346741548611538,0.0675573079075089,10.0
sa21s,-0.06452134598399896,0.9375161018447494,0.06452134598399896,10.0
shops_monthly_outcomes,-0.06414700056536181,0.9378671223997427,0.06414700056536181,10.0
aepmag01,-0.05261080724097076,0.9487491869513195,0.05261080724097076,10.0
tranbal09,-0.046418724303248754,0.9546421466226123,0.046418724303248754,10.0
shops_shop_age,-0.024013018603478844,0.976272999964104,0.024013018603478844,10.0
duemag01,-0.014522607111005434,0.9855823373112195,0.014522607111005434,10.0
at104s,-0.01108121592594592,0.9889799545908573,0.01108121592594592,10.0
tel32s,-0.0012013648705948093,0.9987993564792843,0.0012013648705948093,10.0
rle904,0.0054715886167141055,1.0054865850967567,0.0054715886167141055,10.0
agg9316,0.005955498518022709,1.0059732677566997,0.005955498518022709,10.0
shops_initial_capital,0.010494391894405805,1.0105496511599832,0.010494391894405805,10.0
credits_family_expenses,0.010627328099407665,1.010683998725204,0.010627328099407665,10.0
agg2503,0.011106989141974275,1.0111689007507467,0.011106989141974275,10.0
shops_rent_amount,0.012173119727821471,1.012247513712263,0.012173119727821471,10.0
shops_daily_incomes,0.01232029704744157,1.0123965045518906,0.01232029704744157,10.0
lmd34s,0.03276078091313321,1.033303323795583,0.03276078091313321,10.0
shops_monthly_incomes,0.039431319161373775,1.0402190533145785,0.039431319161373775,10.0
bi21s,0.09011850922777025,1.0943039611384529,0.09011850922777025,10.0
utlmag04,0.11726494775600195,1.1244173020694783,0.11726494775600195,10.0
wd03,0.28178773526655343,1.325497333785425,0.28178773526655343,10.0
g051s,0.6311073683404219,1.879690937424254,0.6311073683404219,10.0
agg308,0.8044827766911011,2.2355399263847597,0.8044827766911011,10.0
wd81,1.477070110170968,4.380093670729454,1.477070110170968,10.0
