model,feature_profile,mode,segment,n,n_total,n_valid,n_invalid,AUC,Gini,KS,Brier,PR_AUC,ECE,calibration_intercept,calibration_slope,AUC_ci_low,AUC_ci_high
logreg_tu_form,tu_form,trained,total,421,421,421,0,0.7572979756643203,0.5145959513286407,0.4343318600971245,0.19775957168288372,0.4956208694323072,0.1478548664380898,-0.7928207659986811,0.6985899581029974,0.70679052763682,0.8041966770338845
logreg_tu_form,tu_form,trained,esparso,153,153,153,0,0.7179199401421623,0.43583988028432463,0.43771043771043766,0.23415205253427232,0.515912755777085,0.19505177528121798,-0.7262260665920428,0.47666628810424855,0.6305649083426861,0.8019079685746353
logreg_tu_form,tu_form,trained,denso,268,268,268,0,0.7760541839632946,0.5521083679265892,0.48379579054693755,0.17698326731623273,0.4889323979518236,0.12987613844584975,-0.7389707912292935,0.9178800009112624,0.7155214478188042,0.8344621659019735
qwen3:8b,tu_form,few,total,407,421,407,14,0.6196165966386554,0.23923319327731085,0.26546451914098973,0.3526474201474202,0.3508660855562662,0.33771498771498776,-0.8461858194293641,0.03518331377608867,0.5643947683239963,0.672751444327731
qwen3:8b,tu_form,few,esparso,150,153,150,3,0.6257716049382716,0.2515432098765431,0.26851851851851855,0.34548333333333336,0.4325359556851862,0.32099999999999995,-0.532605387628423,0.037751693021274124,0.5364342206790123,0.711525848765432
qwen3:8b,tu_form,few,denso,257,268,257,11,0.6165064102564102,0.23301282051282035,0.2704326923076923,0.35682879377431914,0.30409255485089365,0.35680933852140084,-1.0476833335253497,0.03374699355913205,0.5434605368589744,0.6848958333333334
qwen3:8b,tu_form,zero,total,404,421,404,17,0.6544091235632185,0.3088182471264369,0.2889128352490422,0.24048267326732672,0.37995922837307944,0.14405940594059405,-0.7776665258245816,0.38038795554213223,0.6005298132183908,0.7064183728448276
qwen3:8b,tu_form,zero,esparso,149,153,149,4,0.6661379857256146,0.3322759714512291,0.2735923869944489,0.243255033557047,0.484811245364429,0.1483221476510067,-0.5652625548680906,0.4407467334930743,0.585247323552736,0.7518388183980964
qwen3:8b,tu_form,zero,denso,255,268,255,13,0.6409931282722514,0.2819862565445028,0.28893979057591623,0.23886274509803923,0.31320938574602203,0.15372549019607842,-0.9342440511578467,0.3212679121786469,0.5735786158376963,0.709152077879581
qwen3:8b,tu_form_description,few,total,414,421,414,7,0.5597490455872446,0.11949809117448917,0.14237592634179208,0.35136473429951687,0.316463912305187,0.34178743961352653,-0.7815684950977514,0.01892607945844068,0.5056913878284303,0.6120470048282058
qwen3:8b,tu_form_description,few,esparso,151,153,151,2,0.5790335001925297,0.1580670003850595,0.17828263380824028,0.3612251655629139,0.397834786338567,0.34768211920529796,-0.4825486909586738,0.029857507937783613,0.49383423180592995,0.6702998652291106
qwen3:8b,tu_form_description,few,denso,263,268,263,5,0.5443000149409831,0.08860002988196625,0.11549379949200661,0.3457034220532319,0.27132106135559103,0.33992395437262357,-0.9763479168960902,0.011146055410316422,0.47313517854474824,0.6113588824144628
qwen3:8b,tu_form_description,zero,total,409,421,409,12,0.6320448806244261,0.2640897612488522,0.22922405876951335,0.2440166259168704,0.36620113440017565,0.15427872860635697,-0.7416938958889124,0.33995148141466275,0.5779208993342516,0.6836905991735537
qwen3:8b,tu_form_description,zero,esparso,148,153,148,5,0.656901688182721,0.313803376365442,0.27269116186693143,0.2431081081081081,0.4649729517353653,0.1425675675675676,-0.5120037574932793,0.42705523385020056,0.5628550148957298,0.7415119165839127
qwen3:8b,tu_form_description,zero,denso,261,268,261,7,0.6067890886924718,0.21357817738494367,0.21898811338006696,0.24453180076628353,0.3099336049702217,0.16896551724137934,-0.9061636000973748,0.2721248414784064,0.5310080768058518,0.6768515696434014
xgb_tu_form,tu_form,trained,total,421,421,421,0,0.7607082446663394,0.5214164893326787,0.4131609101325912,0.17897343414927447,0.5173027555998745,0.05517102952719159,-0.3738830739851525,0.6515305431269254,0.7101230425055929,0.8081873738200468
xgb_tu_form,tu_form,trained,esparso,153,153,153,0,0.69453797231575,0.38907594463149997,0.38888888888888895,0.22148427826761677,0.4911437729850612,0.10193384917197272,-0.38065399141465606,0.4734673946263406,0.6084689487467265,0.778343621399177
xgb_tu_form,tu_form,trained,denso,268,268,268,0,0.7858131235889592,0.5716262471779183,0.4397349064161387,0.1547041835891761,0.5624911924047657,0.07066022152942954,-0.31786629496274815,0.7742757914830024,0.7251474765129998,0.8421873862063943
