variable,correlacion,abs_correlacion,n_validos
g051s,0.37615271461750993,0.37615271461750993,3348
wd81,0.3473048756919364,0.3473048756919364,2955
wd03,0.3325261211708051,0.3325261211708051,3210
at103s,-0.2362438469361621,0.2362438469361621,3155
utlmag04,0.22687526309481024,0.22687526309481024,1137
tel03s,-0.19767742145030737,0.19767742145030737,2705
ri27s,-0.1954353631123031,0.1954353631123031,968
credits_dependants_amount,-0.1312335613402301,0.1312335613402301,2677
lmd34s,0.12466605989977049,0.12466605989977049,164
rle904,-0.12392444314023165,0.12392444314023165,24
duemag01,0.10274306323073229,0.10274306323073229,1693
bi21s,0.09279731306898739,0.09279731306898739,1673
appusers_age,-0.08420363097188209,0.08420363097188209,3300
aepmag01,-0.07870248890060762,0.07870248890060762,422
tranbal09,-0.05653419510461106,0.05653419510461106,473
shops_shop_age,-0.05643894177700093,0.05643894177700093,2683
at34af,0.05547435193861714,0.05547435193861714,2396
at104s,-0.0428215559836727,0.0428215559836727,3331
shops_daily_incomes,-0.03566051029158867,0.03566051029158867,1820
tel32s,-0.03284291321304096,0.03284291321304096,2675
sa21s,-0.02493269104904187,0.02493269104904187,3320
agg308,0.020185969508900947,0.020185969508900947,3019
shops_monthly_outcomes,-0.013397806866053026,0.013397806866053026,2677
shops_initial_capital,0.010554667868901307,0.010554667868901307,2679
agg9316,0.009215285544622077,0.009215285544622077,3163
shops_monthly_incomes,0.007218631704853022,0.007218631704853022,3268
agg2503,0.006968451293262264,0.006968451293262264,352
shops_rent_amount,0.005286679565931096,0.005286679565931096,1196
credits_family_expenses,0.0007746580918929026,0.0007746580918929026,2677
