variable,grupo,n_creditos,n_mora,tasa_mora
g051s,0,242,59,0.24380165289256198
g051s,1-20,670,318,0.4746268656716418
g051s,21-40,910,671,0.7373626373626374
g051s,41-60,710,573,0.8070422535211268
g051s,61-80,513,460,0.8966861598440545
g051s,81-100,303,266,0.8778877887788779
g051s,sin_informacion,12,8,0.6666666666666666
wd81,Q1,591,208,0.35194585448392557
wd81,Q2,591,371,0.6277495769881557
wd81,Q3,591,441,0.7461928934010152
wd81,Q4,591,501,0.8477157360406091
wd81,Q5,591,579,0.9796954314720813
wd81,sin_informacion,405,255,0.6296296296296297
