variable,grupo,proporcion_faltante,n_faltantes,tasa_mora_con_dato,tasa_mora_sin_dato,correlacion_ausencia,abs_correlacion_ausencia
aepmag01,TransUnion,0.8744047619047619,2938,0.3767772511848341,0.7474472430224642,0.26828170829676656,0.26828170829676656
duemag01,TransUnion,0.4961309523809524,1667,0.5853514471352629,0.8182363527294542,0.25430747924050395,0.25430747924050395
utlmag04,TransUnion,0.6616071428571428,2223,0.5787159190853123,0.763382816014395,0.19083609826349074,0.19083609826349074
agg2503,TransUnion,0.8952380952380953,3008,0.4744318181818182,0.7273936170212766,0.16919467946909938,0.16919467946909938
tranbal09,TransUnion,0.8592261904761904,2887,0.5454545454545454,0.7263595427779702,0.1374124363099109,0.1374124363099109
shops_monthly_outcomes,formulario,0.20327380952380952,683,0.673141576391483,0.8096632503660323,0.11999348189801728,0.11999348189801728
shops_initial_capital,formulario,0.20267857142857143,681,0.6733855916386712,0.8091042584434655,0.11915739796341293,0.11915739796341293
shops_shop_age,formulario,0.20148809523809524,677,0.6734998136414462,0.8094534711964549,0.11910145853496183,0.11910145853496183
credits_dependants_amount,formulario,0.20327380952380952,683,0.673515128875607,0.808199121522694,0.11837828209360915,0.11837828209360915
credits_family_expenses,formulario,0.20327380952380952,683,0.673515128875607,0.808199121522694,0.11837828209360915,0.11837828209360915
shops_daily_incomes,formulario,0.4583333333333333,1540,0.6538461538461539,0.7564935064935064,0.1117031244307041,0.1117031244307041
bi21s,TransUnion,0.5020833333333333,1687,0.6527196652719666,0.7486662714878483,0.10477475230921994,0.10477475230921994
lmd34s,TransUnion,0.9511904761904761,3196,0.5487804878048781,0.7086983729662077,0.07525647298277632,0.07525647298277632
wd03,TransUnion,0.044642857142857144,150,0.7074766355140187,0.56,-0.06651856632662254,0.06651856632662254
at34af,TransUnion,0.2869047619047619,964,0.6828046744574291,0.745850622406639,0.06228172266185921,0.06228172266185921
wd81,TransUnion,0.12053571428571429,405,0.7106598984771574,0.6296296296296297,-0.05762023795315465,0.05762023795315465
agg308,TransUnion,0.10148809523809524,341,0.7081815170586286,0.6363636363636364,-0.04736557835363622,0.04736557835363622
at103s,TransUnion,0.06101190476190476,205,0.6954041204437401,0.7853658536585366,0.04702793829883947,0.04702793829883947
tel32s,TransUnion,0.20386904761904762,685,0.6923364485981308,0.7343065693430657,0.03692911593354631,0.03692911593354631
tel03s,TransUnion,0.1949404761904762,655,0.6942698706099815,0.7282442748091603,0.02939528312128369,0.02939528312128369
appusers_age,formulario,0.017857142857142856,60,0.6990909090909091,0.8,0.02918666021314359,0.02918666021314359
sa21s,TransUnion,0.011904761904761904,40,0.6996987951807229,0.8,0.023758920301180788,0.023758920301180788
ri27s,TransUnion,0.7119047619047619,2392,0.7159090909090909,0.6948160535117057,-0.020863103009515147,0.020863103009515147
rle904,TransUnion,0.9928571428571429,3336,0.625,0.7014388489208633,0.014058995557435457,0.014058995557435457
shops_monthly_incomes,formulario,0.02738095238095238,92,0.7001223990208079,0.7282608695652174,0.010028984008672142,0.010028984008672142
shops_rent_amount,formulario,0.6440476190476191,2164,0.705685618729097,0.6982439926062847,-0.007781862952883892,0.007781862952883892
at104s,TransUnion,0.008630952380952382,29,0.7006904833383368,0.7241379310344828,0.004737000215039597,0.004737000215039597
g051s,TransUnion,0.0035714285714285713,12,0.701015531660693,0.6666666666666666,-0.004475249493736,0.004475249493736
agg9316,TransUnion,0.05863095238095238,197,0.7006006955422067,0.7055837563451777,0.002556821495788679,0.002556821495788679
