columna,grupo,tipo,n_unicos,n_vacios,es_buro_o_formulario
credito_id_anon,meta,object,4201,0,False
fecha_desembolso,meta,datetime64[ns],332,0,False
appusers_age,formulario,float64,54,60,True
credits_dependants_amount,formulario,float64,12,684,True
credits_family_expenses,formulario,float64,124,683,True
shops_monthly_incomes,formulario,float64,185,92,True
shops_monthly_outcomes,formulario,float64,649,683,True
shops_daily_incomes,formulario,float64,10,1541,True
shops_initial_capital,formulario,float64,162,682,True
shops_rent_amount,formulario,float64,118,2636,True
shops_shop_age,formulario,float64,40,677,True
estimated_income,calculada,float64,55,1541,False
free_cash_flow,calculada,float64,799,684,False
cost_ingress_ratio,calculada,float64,1035,1098,False
debts_savings,calculada,float64,647,726,False
relacion_edad_deuda,calculada,float64,88,769,False
agg308,transunion,float64,2165,0,True
wd81,transunion,float64,1066,0,True
agg2503,transunion,float64,179,0,True
utlmag04,transunion,float64,385,0,True
duemag01,transunion,float64,328,0,True
aepmag01,transunion,float64,138,0,True
bi21s,transunion,float64,246,0,True
lmd34s,transunion,float64,69,0,True
ri27s,transunion,float64,14,0,True
rle904,transunion,float64,17,0,True
tel32s,transunion,float64,945,0,True
tranbal09,transunion,float64,692,0,True
at104s,transunion,float64,102,0,True
sa21s,transunion,float64,135,0,True
at103s,transunion,float64,85,0,True
tel03s,transunion,float64,17,0,True
at34af,transunion,float64,320,0,True
g051s,transunion,float64,92,0,True
agg9316,transunion,float64,1796,0,True
wd03,transunion,float64,754,0,True
category_agricultura_y_granja,onehot_rubro,float64,2,0,False
category_artesanias_y_arte,onehot_rubro,float64,2,0,False
category_bar_y_licores,onehot_rubro,float64,2,0,False
category_belleza_e_higiene,onehot_rubro,float64,2,0,False
category_carniceria_y_avicola,onehot_rubro,float64,2,0,False
category_comercializacion,onehot_rubro,float64,2,0,False
category_confeccion,onehot_rubro,float64,2,0,False
category_drogueria_y_medicina,onehot_rubro,float64,2,0,False
category_electronica_y_tecnologia,onehot_rubro,float64,2,0,False
category_mercado_y_perecederos,onehot_rubro,float64,2,0,False
category_miscelanea_y_papeleria,onehot_rubro,float64,2,0,False
category_restaurantes_y_comidas,onehot_rubro,float64,2,0,False
category_servicios,onehot_rubro,float64,2,0,False
category_servicios_y_alquiler,onehot_rubro,float64,2,0,False
category_transporte_y_logistica,onehot_rubro,float64,2,0,False
credits_credit_goal_labor_payment,onehot_objetivo,float64,2,0,False
credits_credit_goal_machinery_and_equipment,onehot_objetivo,float64,2,0,False
credits_credit_goal_marketing_and_advertising,onehot_objetivo,float64,2,0,False
credits_credit_goal_nan,onehot_objetivo,float64,2,0,False
credits_credit_goal_payment_suppliers,onehot_objetivo,float64,2,0,False
credits_credit_goal_stocking,onehot_objetivo,float64,2,0,False
credits_credit_goal_supplies,onehot_objetivo,float64,2,0,False
CANAL_10,onehot_canal,float64,2,0,False
CANAL_11,onehot_canal,float64,1,0,False
CANAL_03,onehot_canal,float64,2,0,False
CANAL_08,onehot_canal,float64,1,0,False
CANAL_09,onehot_canal,float64,2,0,False
CANAL_02,onehot_canal,float64,2,0,False
CANAL_06,onehot_canal,float64,1,0,False
CANAL_01,onehot_canal,float64,1,0,False
CANAL_04,onehot_canal,float64,2,0,False
CANAL_05,onehot_canal,float64,2,0,False
CANAL_12,onehot_canal,float64,2,0,False
CANAL_07,onehot_canal,float64,2,0,False
credits_contact_studies_None,onehot_educacion,float64,1,0,False
credits_contact_studies_college,onehot_educacion,float64,1,0,False
credits_contact_studies_high_school,onehot_educacion,float64,2,0,False
credits_contact_studies_nan,onehot_educacion,float64,2,0,False
credits_contact_studies_postgraduate_studies,onehot_educacion,float64,2,0,False
credits_contact_studies_primary,onehot_educacion,float64,2,0,False
credits_contact_studies_professional,onehot_educacion,float64,2,0,False
credits_contact_studies_technical,onehot_educacion,float64,2,0,False
ALIANZA_05,onehot_canal,float64,2,0,False
ALIANZA_02,onehot_canal,float64,2,0,False
ALIANZA_03,onehot_canal,float64,2,0,False
ALIANZA_01,onehot_canal,float64,2,0,False
ALIANZA_06,onehot_canal,float64,2,0,False
ALIANZA_04,onehot_canal,float64,2,0,False
appusers_gender_None,onehot_genero,float64,2,0,False
appusers_gender_female,onehot_genero,float64,2,0,False
appusers_gender_male,onehot_genero,float64,2,0,False
appusers_gender_other,onehot_genero,float64,2,0,False
subcategoria_texto,texto,object,37,0,False
descripcion_negocio,texto,object,3350,721,False
otra_categoria_negocio,texto,object,780,2963,False
tipo_credito,texto,object,2,0,False
target,meta,int64,2,0,False
set,meta,object,3,0,False
