subcategoria_texto,n_creditos,n_mora,tasa_mora,distancia_al_promedio
venta de accesorios bolsos y o bisuteria,54,22,0.4074074074074074,-0.2934854497354497
venta productos cuidado personal belleza,70,37,0.5285714285714286,-0.17232142857142851
confeccion y comercializacion,61,36,0.5901639344262295,-0.1107289227166276
reparacion electrodomesticos,97,60,0.6185567010309279,-0.08233615611192924
viveros,80,51,0.6375,-0.06339285714285714
construccion,95,61,0.6421052631578947,-0.05878759398496236
tienda abarrotes,187,125,0.6684491978609626,-0.03244365928189452
arreglos,162,113,0.6975308641975309,-0.003361992945326242
venta de productos para el hogar,1541,1110,0.7203114860480208,0.01941862890516366
peluqueria y manicuria,89,68,0.7640449438202247,0.0631520866773676
comidas rapidas,448,352,0.7857142857142857,0.0848214285714286
esteticas spa,182,145,0.7967032967032966,0.09581043956043955
