subcategoria_texto,descripcion_negocio,target,similitud_caracteres
venta de productos para el hogar,Comidas rapidas,1,0.0
venta de productos para el hogar,Lociones cremas esplas,0,0.0
construccion,tinto cigarrillos y mecatos,1,0.0
esteticas spa,Entrenamiento multifuncional a domicilio personal y grupal en todo el perímetro de laa localidad de suba,1,0.0
peluqueria y manicuria,Arreglo de cabello,1,0.0
arreglos,"Ropa de bb, pañales , calzado, lociones,pijamas, empaques, bañeras, detalles",1,0.0
tienda abarrotes,Mercado y dulceria,1,0.0
esteticas spa,Losiomes! Cremas! Champoo! Maquillaje!,1,0.0
reparacion electrodomesticos,Celulares tablet y computadoras,1,0.0
construccion,"Peluquería, productos capilares",0,0.0
peluqueria y manicuria,Se ofrece el servicio de corte de cabello,0,0.0
mecanica,Venta de repuestos,0,0.0
tienda abarrotes,"Víveres,verduras y algunos insumos agricolas",0,0.0
venta de celulares y accesorios,Papeleria,1,0.0
comidas rapidas,Tamales tolimenses,1,0.0
comidas rapidas,Cuido niños,0,0.0
arreglos,Todo lo relacionado con prendas de vestir para dama y ropa deportiva,1,0.0
publicidad,Alquiler de equipos de audio y video,1,0.0
maquila,confección de prendas Femeninas,0,0.0
ferreteria,"Cerámicas ,pegantes, cocinas",1,0.0
ferreteria,"Gafas oftalmológicas, de sol, lentes de contacto y soluciones oftalmológicas",1,0.0
pasteleria panaderia,Torras personalizadas,0,0.0
maquila,"Confeccion de ropa para damas y niñas, uniformes de colegios",0,0.0
viveros,Soy agricultora de siembra de café,1,0.0
venta productos cuidado personal belleza,"Ropa, maquillaje, papelería y lociones",1,0.0
postres,Benta de serbesa y fritos,0,0.0
viveros,Carnes frias,1,0.0
venta de accesorios bolsos y o bisuteria,Remodelaciones,1,0.0
comidas corrientes,Almuerzo desayuno,1,0.0
confeccion y comercializacion,"Polos, camisas, etc",1,0.0
comidas corrientes,Mojarra frita Cerdo frito Loncha de cerdo Cerveza,1,0.0
confeccion y comercializacion,Zapatos,1,0.0
tienda naturista,"Alumbre, alcanfor y vaselina",1,0.0
mecanica,Embellecimiento automotriz,0,0.0
plantas ornamentales,chorizo Queso campesino Bollos o envueltos,1,0.0
venta de accesorios bolsos y o bisuteria,Diseño e impresion,0,0.0
plantas ornamentales,"Zanahoria, sevolla,papa",1,0.0
reparacion electrodomesticos,Nevera lavadora celulares,1,0.0
pasteleria panaderia,"Cerveza, gaseosa, golosinas",0,0.0
venta productos cuidado personal belleza,Maquina,0,0.0
venta de comida tradicional,Café tinto arepas almojabanas envueltos artesanías,1,0.0
postres,Helados ensaladas de frutas jugos obleas,1,0.0
tienda naturista,Medicamentos,1,0.0
frutas y verduras,Mango Melon Guanabana Banano uva manzana,0,0.0
venta de comida tradicional,"Sopas, papas ,jugos, empanadas",1,0.0
venta por catalogo,"Dulces, paletas, maní, coco, maíz",0,0.0
venta ropa,ESTAMPADOS,1,0.0
publicidad,Artesanías,1,0.0
drogueria,Suplementos y Alimentos naturales,0,0.0
venta ropa,Artículos de lencería de hogar,0,0.0
frutas y verduras,Helados base de tres leches en diferentes presentaciones,1,0.0
carpinteria,"Productos : comedores , camas,camarotes,peinadora, salas. Servicios: restauración de comedores ,tapizado de muebles",0,0.00408107086341598
veterinaria,Venta de productos mascotas,0,0.005388450791357304
venta calzado,Fabricantes de bolsos billeteras para dama y caballero,0,0.009064803838797637
venta de bebidas y jugos,Fabricación y comercialización de hielo tubular,0,0.010954845938996982
venta calzado,Zapatos AAA Camisetas Y mochonas,0,0.011756363711897484
reparacion equipos computo,Ingenieria soluciones tecnicas integrales,0,0.01291413332618788
venta por catalogo,Diseño gráfico Publicidad Calcomanías Polarizados Plotter de corte e impresión,1,0.013355942606260557
organizacion y decoracion de eventos,Fotocopia trabajos transcripciones e impresiones trabajos para estudiantes y otras personas en general,1,0.016599588800212305
fabricacion reparacion de muebles,Puertasclosetscocinas integrales,1,0.01834109061995891
carpinteria,Camas,1,0.019022971014357928
fabricacion reparacion de muebles,Venta y recarga de extintores,1,0.019976667280830793
venta de bebidas y jugos,Cholaos y raspaos com frutas y hielo,1,0.0215326973030465
venta de celulares y accesorios,Vendemos productos para carros como radio luces,1,0.027586911720556766
organizacion y decoracion de eventos,Servicio de paseos Caninos,1,0.02943529186838403
acarreos,Servicios Entrenamiento personalizado. Creación de somatocarta. Adaptación fisiológica a los diversos estímulos. Acompañamiento en competencia. Sugerencias de a,0,0.05722309588816107
reparacion equipos computo,Servicio de redes y telecomunicacion,1,0.06284937713421523
