set,tema,etiqueta_emergente,n_creditos,proporcion
test,0,ropa · deportiva · ropa deportiva · dama,32,0.07600950118764846
test,1,venta · accesorios · mayor · servicio,96,0.22802850356294538
test,2,comidas · rapidas · comidas rapidas · almuerzos,24,0.057007125890736345
test,3,todo · relacionado · todo relacionado · vendo,150,0.35629453681710216
test,4,bar · bar licores · licores · cerveza,19,0.04513064133016627
test,5,productos · belleza · aseo · productos aseo,94,0.22327790973871733
test,6,calzado · ropa calzado · dama · calzado dama,6,0.014251781472684086
train,0,ropa · deportiva · ropa deportiva · dama,349,0.1317478293695734
train,1,venta · accesorios · mayor · servicio,565,0.21328803322008305
train,2,comidas · rapidas · comidas rapidas · almuerzos,290,0.10947527368818422
train,3,todo · relacionado · todo relacionado · vendo,553,0.20875802189505474
train,4,bar · bar licores · licores · cerveza,259,0.09777274443186108
train,5,productos · belleza · aseo · productos aseo,520,0.19630049075122688
train,6,calzado · ropa calzado · dama · calzado dama,113,0.04265760664401661
val,0,ropa · deportiva · ropa deportiva · dama,37,0.09024390243902439
val,1,venta · accesorios · mayor · servicio,94,0.22926829268292684
val,2,comidas · rapidas · comidas rapidas · almuerzos,33,0.08048780487804878
val,3,todo · relacionado · todo relacionado · vendo,121,0.2951219512195122
val,4,bar · bar licores · licores · cerveza,31,0.07560975609756097
val,5,productos · belleza · aseo · productos aseo,85,0.2073170731707317
val,6,calzado · ropa calzado · dama · calzado dama,9,0.02195121951219512
