columna,dtype,grupo_textual,n_unicos,n_vacios
credito_id_anon,object,meta_codigo,4201,0
fecha_desembolso,datetime64[ns],no_textual,332,0
appusers_age,float64,no_textual,54,60
credits_dependants_amount,float64,no_textual,12,684
credits_family_expenses,float64,no_textual,124,683
shops_monthly_incomes,float64,no_textual,185,92
shops_monthly_outcomes,float64,no_textual,649,683
shops_daily_incomes,float64,no_textual,10,1541
shops_initial_capital,float64,no_textual,162,682
shops_rent_amount,float64,no_textual,118,2636
shops_shop_age,float64,no_textual,40,677
estimated_income,float64,no_textual,55,1541
free_cash_flow,float64,no_textual,799,684
cost_ingress_ratio,float64,no_textual,1035,1098
debts_savings,float64,no_textual,647,726
relacion_edad_deuda,float64,no_textual,88,769
agg308,float64,no_textual,2165,0
wd81,float64,no_textual,1066,0
agg2503,float64,no_textual,179,0
utlmag04,float64,no_textual,385,0
duemag01,float64,no_textual,328,0
aepmag01,float64,no_textual,138,0
bi21s,float64,no_textual,246,0
lmd34s,float64,no_textual,69,0
ri27s,float64,no_textual,14,0
rle904,float64,no_textual,17,0
tel32s,float64,no_textual,945,0
tranbal09,float64,no_textual,692,0
at104s,float64,no_textual,102,0
sa21s,float64,no_textual,135,0
at103s,float64,no_textual,85,0
tel03s,float64,no_textual,17,0
at34af,float64,no_textual,320,0
g051s,float64,no_textual,92,0
agg9316,float64,no_textual,1796,0
wd03,float64,no_textual,754,0
category_agricultura_y_granja,float64,onehot_fue_categoria,2,0
category_artesanias_y_arte,float64,onehot_fue_categoria,2,0
category_bar_y_licores,float64,onehot_fue_categoria,2,0
category_belleza_e_higiene,float64,onehot_fue_categoria,2,0
category_carniceria_y_avicola,float64,onehot_fue_categoria,2,0
category_comercializacion,float64,onehot_fue_categoria,2,0
category_confeccion,float64,onehot_fue_categoria,2,0
category_drogueria_y_medicina,float64,onehot_fue_categoria,2,0
category_electronica_y_tecnologia,float64,onehot_fue_categoria,2,0
category_mercado_y_perecederos,float64,onehot_fue_categoria,2,0
category_miscelanea_y_papeleria,float64,onehot_fue_categoria,2,0
category_restaurantes_y_comidas,float64,onehot_fue_categoria,2,0
category_servicios,float64,onehot_fue_categoria,2,0
category_servicios_y_alquiler,float64,onehot_fue_categoria,2,0
category_transporte_y_logistica,float64,onehot_fue_categoria,2,0
credits_credit_goal_labor_payment,float64,onehot_fue_categoria,2,0
credits_credit_goal_machinery_and_equipment,float64,onehot_fue_categoria,2,0
credits_credit_goal_marketing_and_advertising,float64,onehot_fue_categoria,2,0
credits_credit_goal_nan,float64,onehot_fue_categoria,2,0
credits_credit_goal_payment_suppliers,float64,onehot_fue_categoria,2,0
credits_credit_goal_stocking,float64,onehot_fue_categoria,2,0
credits_credit_goal_supplies,float64,onehot_fue_categoria,2,0
CANAL_10,float64,onehot_fue_categoria,2,0
CANAL_11,float64,onehot_fue_categoria,1,0
CANAL_03,float64,onehot_fue_categoria,2,0
CANAL_08,float64,onehot_fue_categoria,1,0
CANAL_09,float64,onehot_fue_categoria,2,0
CANAL_02,float64,onehot_fue_categoria,2,0
CANAL_06,float64,onehot_fue_categoria,1,0
CANAL_01,float64,onehot_fue_categoria,1,0
CANAL_04,float64,onehot_fue_categoria,2,0
CANAL_05,float64,onehot_fue_categoria,2,0
CANAL_12,float64,onehot_fue_categoria,2,0
CANAL_07,float64,onehot_fue_categoria,2,0
credits_contact_studies_None,float64,onehot_fue_categoria,1,0
credits_contact_studies_college,float64,onehot_fue_categoria,1,0
credits_contact_studies_high_school,float64,onehot_fue_categoria,2,0
credits_contact_studies_nan,float64,onehot_fue_categoria,2,0
credits_contact_studies_postgraduate_studies,float64,onehot_fue_categoria,2,0
credits_contact_studies_primary,float64,onehot_fue_categoria,2,0
credits_contact_studies_professional,float64,onehot_fue_categoria,2,0
credits_contact_studies_technical,float64,onehot_fue_categoria,2,0
ALIANZA_05,float64,onehot_fue_categoria,2,0
ALIANZA_02,float64,onehot_fue_categoria,2,0
ALIANZA_03,float64,onehot_fue_categoria,2,0
ALIANZA_01,float64,onehot_fue_categoria,2,0
ALIANZA_06,float64,onehot_fue_categoria,2,0
ALIANZA_04,float64,onehot_fue_categoria,2,0
appusers_gender_None,float64,onehot_fue_categoria,2,0
appusers_gender_female,float64,onehot_fue_categoria,2,0
appusers_gender_male,float64,onehot_fue_categoria,2,0
appusers_gender_other,float64,onehot_fue_categoria,2,0
subcategoria_texto,object,contrato_texto,37,0
descripcion_negocio,object,contrato_texto,3350,721
otra_categoria_negocio,object,contrato_texto,780,2963
tipo_credito,object,contrato_texto,2,0
target,int64,no_textual,2,0
set,object,meta_codigo,3,0
n_tu_missing,int64,no_textual,21,0
segmento,object,meta_codigo,2,0
