tema,etiqueta_emergente,posicion,peso_tema,texto
0,ropa · deportiva · ropa deportiva · dama,1,0.29414645477004453,Ropa
0,ropa · deportiva · ropa deportiva · dama,2,0.29414645477004453,Ropa tactica
0,ropa · deportiva · ropa deportiva · dama,3,0.29414645477004453,Ropa
1,venta · accesorios · mayor · servicio,1,0.31221718166059853,Venta de catalogos Novaaventa Y marketing
1,venta · accesorios · mayor · servicio,2,0.31221718166059853,Venta de Alevinos y peces
1,venta · accesorios · mayor · servicio,3,0.31221718166059853,venta de te
2,comidas · rapidas · comidas rapidas · almuerzos,1,0.4354843199096436,Comidas rápidas
2,comidas · rapidas · comidas rapidas · almuerzos,2,0.4354843199096436,Comidas rapidas
2,comidas · rapidas · comidas rapidas · almuerzos,3,0.4354843199096436,Comidas rápidas
3,todo · relacionado · todo relacionado · vendo,1,0.4642844083844956,Todo lo relacionado con papelerÃ­a
3,todo · relacionado · todo relacionado · vendo,2,0.4642844083844956,Todo lo relacionado con la demarcacion vial
3,todo · relacionado · todo relacionado · vendo,3,0.4642844083844956,Cable bonbillos reguladores todo lo relacionado con automotris
4,bar · bar licores · licores · cerveza,1,0.45805308476930606,Bar y Licores
4,bar · bar licores · licores · cerveza,2,0.45805308476930606,Bar y Licores
4,bar · bar licores · licores · cerveza,3,0.4472966580802357,Bar Cigarreria Bar y Licores
5,productos · belleza · aseo · productos aseo,1,0.4045601773837788,Productos
5,productos · belleza · aseo · productos aseo,2,0.4045601773837788,Productos Eroticos
5,productos · belleza · aseo · productos aseo,3,0.4045601773837788,Productos echos en cueros
6,calzado · ropa calzado · dama · calzado dama,1,0.4066108564660329,Calzado
6,calzado · ropa calzado · dama · calzado dama,2,0.4066108564660329,Calzado
6,calzado · ropa calzado · dama · calzado dama,3,0.4066108564660329,Calzado
