tema,etiqueta_emergente,posicion,expresion,peso
0,ropa · deportiva · ropa deportiva · dama,1,ropa,2.957529622808976
0,ropa · deportiva · ropa deportiva · dama,2,deportiva,0.3852828817899291
0,ropa · deportiva · ropa deportiva · dama,3,ropa deportiva,0.36827351475353465
0,ropa · deportiva · ropa deportiva · dama,4,dama,0.3542776148606944
0,ropa · deportiva · ropa deportiva · dama,5,venta ropa,0.3369344642546626
0,ropa · deportiva · ropa deportiva · dama,6,confeccion,0.3230291754671382
0,ropa · deportiva · ropa deportiva · dama,7,ropa calzado,0.2652382744395033
0,ropa · deportiva · ropa deportiva · dama,8,ropa dama,0.25427605391025243
0,ropa · deportiva · ropa deportiva · dama,9,vendo,0.2199817803318409
0,ropa · deportiva · ropa deportiva · dama,10,caballero,0.19493314735809206
0,ropa · deportiva · ropa deportiva · dama,11,confeccion ropa,0.17808702815487293
0,ropa · deportiva · ropa deportiva · dama,12,zapatos,0.15834496608857446
1,venta · accesorios · mayor · servicio,1,venta,2.6187691314284947
1,venta · accesorios · mayor · servicio,2,accesorios,0.5245730056271145
1,venta · accesorios · mayor · servicio,3,mayor,0.33032659978715295
1,venta · accesorios · mayor · servicio,4,servicio,0.3135198585462499
1,venta · accesorios · mayor · servicio,5,venta ropa,0.3101892235724697
1,venta · accesorios · mayor · servicio,6,celulares,0.27148007769021415
1,venta · accesorios · mayor · servicio,7,detal,0.2696908623232376
1,venta · accesorios · mayor · servicio,8,repuestos,0.2605809450429533
1,venta · accesorios · mayor · servicio,9,reparacion,0.23068207801018553
1,venta · accesorios · mayor · servicio,10,mayor detal,0.21008642337938135
1,venta · accesorios · mayor · servicio,11,mantenimiento,0.197123586627839
1,venta · accesorios · mayor · servicio,12,venta repuestos,0.17849631923162282
2,comidas · rapidas · comidas rapidas · almuerzos,1,comidas,1.363355165159889
2,comidas · rapidas · comidas rapidas · almuerzos,2,rapidas,1.1192999241281638
2,comidas · rapidas · comidas rapidas · almuerzos,3,comidas rapidas,1.1043616576275481
2,comidas · rapidas · comidas rapidas · almuerzos,4,almuerzos,0.31947793457933843
2,comidas · rapidas · comidas rapidas · almuerzos,5,desayunos,0.20261221077788216
2,comidas · rapidas · comidas rapidas · almuerzos,6,desayunos almuerzos,0.1701459364452254
2,comidas · rapidas · comidas rapidas · almuerzos,7,perros,0.13222489638459914
2,comidas · rapidas · comidas rapidas · almuerzos,8,hamburguesas,0.11517121633883558
2,comidas · rapidas · comidas rapidas · almuerzos,9,jugos,0.11326998903948461
2,comidas · rapidas · comidas rapidas · almuerzos,10,almuerzos comidas,0.11270364079301097
2,comidas · rapidas · comidas rapidas · almuerzos,11,bebidas,0.10328116626855482
2,comidas · rapidas · comidas rapidas · almuerzos,12,calientes,0.09150424525049645
3,todo · relacionado · todo relacionado · vendo,1,todo,1.2512703219232508
3,todo · relacionado · todo relacionado · vendo,2,relacionado,1.0046211344826304
3,todo · relacionado · todo relacionado · vendo,3,todo relacionado,1.0040711288451072
3,todo · relacionado · todo relacionado · vendo,4,vendo,0.192864519957211
3,todo · relacionado · todo relacionado · vendo,5,tipo,0.1927184770820304
3,todo · relacionado · todo relacionado · vendo,6,todo tipo,0.18742617675312837
