tema,etiqueta_emergente,subcategoria_texto,n_creditos
0,ropa · deportiva · ropa deportiva · dama,arreglos,49
0,ropa · deportiva · ropa deportiva · dama,comidas rapidas,5
0,ropa · deportiva · ropa deportiva · dama,confeccion y comercializacion,33
0,ropa · deportiva · ropa deportiva · dama,construccion,4
0,ropa · deportiva · ropa deportiva · dama,esteticas spa,6
0,ropa · deportiva · ropa deportiva · dama,ferreteria,3
0,ropa · deportiva · ropa deportiva · dama,frutas y verduras,2
0,ropa · deportiva · ropa deportiva · dama,maquila,3
0,ropa · deportiva · ropa deportiva · dama,peluqueria y manicuria,4
0,ropa · deportiva · ropa deportiva · dama,reparacion electrodomesticos,1
0,ropa · deportiva · ropa deportiva · dama,tienda abarrotes,2
0,ropa · deportiva · ropa deportiva · dama,tienda naturista,2
0,ropa · deportiva · ropa deportiva · dama,venta calzado,2
0,ropa · deportiva · ropa deportiva · dama,venta de accesorios bolsos y o bisuteria,6
0,ropa · deportiva · ropa deportiva · dama,venta de productos para el hogar,204
0,ropa · deportiva · ropa deportiva · dama,venta productos cuidado personal belleza,7
0,ropa · deportiva · ropa deportiva · dama,venta ropa,12
0,ropa · deportiva · ropa deportiva · dama,viveros,4
1,venta · accesorios · mayor · servicio,acarreos,1
1,venta · accesorios · mayor · servicio,arreglos,7
1,venta · accesorios · mayor · servicio,comidas corrientes,4
1,venta · accesorios · mayor · servicio,comidas rapidas,26
1,venta · accesorios · mayor · servicio,confeccion y comercializacion,6
1,venta · accesorios · mayor · servicio,construccion,15
1,venta · accesorios · mayor · servicio,esteticas spa,4
1,venta · accesorios · mayor · servicio,fabricacion reparacion de muebles,1
1,venta · accesorios · mayor · servicio,ferreteria,6
1,venta · accesorios · mayor · servicio,frutas y verduras,10
1,venta · accesorios · mayor · servicio,mecanica,6
1,venta · accesorios · mayor · servicio,organizacion y decoracion de eventos,4
1,venta · accesorios · mayor · servicio,pasteleria panaderia,3
1,venta · accesorios · mayor · servicio,peluqueria y manicuria,4
1,venta · accesorios · mayor · servicio,postres,1
1,venta · accesorios · mayor · servicio,publicidad,2
1,venta · accesorios · mayor · servicio,reparacion electrodomesticos,55
1,venta · accesorios · mayor · servicio,reparacion equipos computo,5
1,venta · accesorios · mayor · servicio,tienda abarrotes,24
1,venta · accesorios · mayor · servicio,tienda naturista,4
1,venta · accesorios · mayor · servicio,venta de accesorios bolsos y o bisuteria,14
1,venta · accesorios · mayor · servicio,venta de bebidas y jugos,1
1,venta · accesorios · mayor · servicio,venta de celulares y accesorios,5
1,venta · accesorios · mayor · servicio,venta de comida tradicional,6
1,venta · accesorios · mayor · servicio,venta de productos para el hogar,293
1,venta · accesorios · mayor · servicio,venta productos cuidado personal belleza,9
1,venta · accesorios · mayor · servicio,venta ropa,1
1,venta · accesorios · mayor · servicio,viveros,48
2,comidas · rapidas · comidas rapidas · almuerzos,comidas corrientes,14
2,comidas · rapidas · comidas rapidas · almuerzos,comidas rapidas,129
2,comidas · rapidas · comidas rapidas · almuerzos,construccion,4
2,comidas · rapidas · comidas rapidas · almuerzos,esteticas spa,1
2,comidas · rapidas · comidas rapidas · almuerzos,ferreteria,1
2,comidas · rapidas · comidas rapidas · almuerzos,frutas y verduras,1
2,comidas · rapidas · comidas rapidas · almuerzos,pasteleria panaderia,3
2,comidas · rapidas · comidas rapidas · almuerzos,plantas ornamentales,2
2,comidas · rapidas · comidas rapidas · almuerzos,tienda abarrotes,14
2,comidas · rapidas · comidas rapidas · almuerzos,venta de accesorios bolsos y o bisuteria,1
2,comidas · rapidas · comidas rapidas · almuerzos,venta de bebidas y jugos,1
2,comidas · rapidas · comidas rapidas · almuerzos,venta de comida tradicional,18
2,comidas · rapidas · comidas rapidas · almuerzos,venta de productos para el hogar,101
3,todo · relacionado · todo relacionado · vendo,arreglos,13
3,todo · relacionado · todo relacionado · vendo,carpinteria,1
3,todo · relacionado · todo relacionado · vendo,comidas corrientes,2
3,todo · relacionado · todo relacionado · vendo,comidas rapidas,51
3,todo · relacionado · todo relacionado · vendo,confeccion y comercializacion,8
3,todo · relacionado · todo relacionado · vendo,construccion,19
3,todo · relacionado · todo relacionado · vendo,esteticas spa,46
3,todo · relacionado · todo relacionado · vendo,fabricacion reparacion de muebles,4
3,todo · relacionado · todo relacionado · vendo,ferreteria,9
3,todo · relacionado · todo relacionado · vendo,frutas y verduras,2
3,todo · relacionado · todo relacionado · vendo,maquila,3
3,todo · relacionado · todo relacionado · vendo,mecanica,3
3,todo · relacionado · todo relacionado · vendo,organizacion y decoracion de eventos,4
3,todo · relacionado · todo relacionado · vendo,pasteleria panaderia,5
3,todo · relacionado · todo relacionado · vendo,peluqueria y manicuria,48
3,todo · relacionado · todo relacionado · vendo,postres,2
3,todo · relacionado · todo relacionado · vendo,publicidad,1
3,todo · relacionado · todo relacionado · vendo,reparacion electrodomesticos,6
3,todo · relacionado · todo relacionado · vendo,reparacion equipos computo,1
3,todo · relacionado · todo relacionado · vendo,tienda abarrotes,17
3,todo · relacionado · todo relacionado · vendo,venta de accesorios bolsos y o bisuteria,10
3,todo · relacionado · todo relacionado · vendo,venta de bebidas y jugos,1
3,todo · relacionado · todo relacionado · vendo,venta de celulares y accesorios,1
3,todo · relacionado · todo relacionado · vendo,venta de comida tradicional,7
3,todo · relacionado · todo relacionado · vendo,venta de productos para el hogar,269
3,todo · relacionado · todo relacionado · vendo,venta por catalogo,2
3,todo · relacionado · todo relacionado · vendo,venta productos cuidado personal belleza,8
3,todo · relacionado · todo relacionado · vendo,venta ropa,3
3,todo · relacionado · todo relacionado · vendo,viveros,7
4,bar · bar licores · licores · cerveza,comidas corrientes,2
4,bar · bar licores · licores · cerveza,comidas rapidas,31
4,bar · bar licores · licores · cerveza,construccion,2
4,bar · bar licores · licores · cerveza,esteticas spa,2
4,bar · bar licores · licores · cerveza,frutas y verduras,5
4,bar · bar licores · licores · cerveza,pasteleria panaderia,4
4,bar · bar licores · licores · cerveza,plantas ornamentales,2
4,bar · bar licores · licores · cerveza,postres,2
4,bar · bar licores · licores · cerveza,publicidad,1
4,bar · bar licores · licores · cerveza,tienda abarrotes,49
4,bar · bar licores · licores · cerveza,venta de accesorios bolsos y o bisuteria,3
4,bar · bar licores · licores · cerveza,venta de bebidas y jugos,1
4,bar · bar licores · licores · cerveza,venta de comida tradicional,3
4,bar · bar licores · licores · cerveza,venta de productos para el hogar,151
4,bar · bar licores · licores · cerveza,viveros,1
5,productos · belleza · aseo · productos aseo,arreglos,6
5,productos · belleza · aseo · productos aseo,carpinteria,2
5,productos · belleza · aseo · productos aseo,comidas corrientes,1
5,productos · belleza · aseo · productos aseo,comidas rapidas,32
5,productos · belleza · aseo · productos aseo,confeccion y comercializacion,6
5,productos · belleza · aseo · productos aseo,construccion,15
5,productos · belleza · aseo · productos aseo,drogueria,1
5,productos · belleza · aseo · productos aseo,esteticas spa,51
5,productos · belleza · aseo · productos aseo,fabricacion reparacion de muebles,2
5,productos · belleza · aseo · productos aseo,ferreteria,7
5,productos · belleza · aseo · productos aseo,frutas y verduras,3
5,productos · belleza · aseo · productos aseo,mecanica,3
5,productos · belleza · aseo · productos aseo,organizacion y decoracion de eventos,1
5,productos · belleza · aseo · productos aseo,pasteleria panaderia,3
5,productos · belleza · aseo · productos aseo,peluqueria y manicuria,32
5,productos · belleza · aseo · productos aseo,plantas ornamentales,2
5,productos · belleza · aseo · productos aseo,postres,1
5,productos · belleza · aseo · productos aseo,publicidad,1
5,productos · belleza · aseo · productos aseo,reparacion electrodomesticos,7
5,productos · belleza · aseo · productos aseo,tienda abarrotes,39
5,productos · belleza · aseo · productos aseo,tienda naturista,10
5,productos · belleza · aseo · productos aseo,venta de accesorios bolsos y o bisuteria,13
5,productos · belleza · aseo · productos aseo,venta de bebidas y jugos,4
5,productos · belleza · aseo · productos aseo,venta de celulares y accesorios,2
5,productos · belleza · aseo · productos aseo,venta de comida tradicional,1
5,productos · belleza · aseo · productos aseo,venta de productos para el hogar,220
5,productos · belleza · aseo · productos aseo,venta productos cuidado personal belleza,43
5,productos · belleza · aseo · productos aseo,venta ropa,2
5,productos · belleza · aseo · productos aseo,veterinaria,1
5,productos · belleza · aseo · productos aseo,viveros,9
6,calzado · ropa calzado · dama · calzado dama,arreglos,8
6,calzado · ropa calzado · dama · calzado dama,confeccion y comercializacion,6
6,calzado · ropa calzado · dama · calzado dama,construccion,3
6,calzado · ropa calzado · dama · calzado dama,esteticas spa,1
6,calzado · ropa calzado · dama · calzado dama,ferreteria,1
6,calzado · ropa calzado · dama · calzado dama,peluqueria y manicuria,1
6,calzado · ropa calzado · dama · calzado dama,reparacion electrodomesticos,2
6,calzado · ropa calzado · dama · calzado dama,venta calzado,3
6,calzado · ropa calzado · dama · calzado dama,venta de accesorios bolsos y o bisuteria,7
6,calzado · ropa calzado · dama · calzado dama,venta de productos para el hogar,74
6,calzado · ropa calzado · dama · calzado dama,venta productos cuidado personal belleza,2
6,calzado · ropa calzado · dama · calzado dama,venta ropa,5
