campo,posicion,expresion,n_documentos,proporcion_documentos,tfidf_total
subcategoria_texto,1,venta,1747,0.5199404761904762,687.2073661455471
subcategoria_texto,2,productos,1611,0.47946428571428573,698.2026003470825
subcategoria_texto,3,venta productos,1611,0.47946428571428573,698.2026003470825
subcategoria_texto,4,hogar,1541,0.45863095238095236,705.9126413620477
subcategoria_texto,5,productos hogar,1541,0.45863095238095236,705.9126413620477
subcategoria_texto,6,comidas,471,0.14017857142857143,263.418506505267
subcategoria_texto,7,comidas rapidas,448,0.13333333333333333,260.082350645014
subcategoria_texto,8,rapidas,448,0.13333333333333333,260.082350645014
subcategoria_texto,9,tienda,215,0.06398809523809523,117.05246215202091
subcategoria_texto,10,abarrotes,187,0.0556547619047619,109.25069929079116
subcategoria_texto,11,tienda abarrotes,187,0.0556547619047619,109.25069929079116
subcategoria_texto,12,esteticas,182,0.05416666666666667,105.07774899251152
subcategoria_texto,13,esteticas spa,182,0.05416666666666667,105.07774899251152
subcategoria_texto,14,spa,182,0.05416666666666667,105.07774899251152
subcategoria_texto,15,arreglos,162,0.048214285714285716,162.0
subcategoria_texto,16,reparacion,110,0.03273809523809524,58.81854723886943
subcategoria_texto,17,electrodomesticos,97,0.02886904761904762,56.515629866597166
subcategoria_texto,18,reparacion electrodomesticos,97,0.02886904761904762,56.515629866597166
subcategoria_texto,19,construccion,95,0.028273809523809524,95.0
subcategoria_texto,20,manicuria,89,0.026488095238095238,51.384173957876605
subcategoria_texto,21,peluqueria,89,0.026488095238095238,51.384173957876605
subcategoria_texto,22,peluqueria manicuria,89,0.026488095238095238,51.384173957876605
subcategoria_texto,23,viveros,80,0.023809523809523808,80.0
subcategoria_texto,24,belleza,70,0.020833333333333332,27.73278145255547
subcategoria_texto,25,cuidado,70,0.020833333333333332,27.73278145255547
subcategoria_texto,26,cuidado personal,70,0.020833333333333332,27.73278145255547
subcategoria_texto,27,personal,70,0.020833333333333332,27.73278145255547
subcategoria_texto,28,personal belleza,70,0.020833333333333332,27.73278145255547
subcategoria_texto,29,productos cuidado,70,0.020833333333333332,27.73278145255547
subcategoria_texto,30,accesorios,63,0.01875,24.767418750784422
subcategoria_texto,31,comercializacion,61,0.018154761904761906,35.21836642056717
subcategoria_texto,32,confeccion,61,0.018154761904761906,35.21836642056717
subcategoria_texto,33,confeccion comercializacion,61,0.018154761904761906,35.21836642056717
subcategoria_texto,34,accesorios bolsos,54,0.01607142857142857,21.960976244377353
subcategoria_texto,35,bisuteria,54,0.01607142857142857,21.960976244377353
subcategoria_texto,36,bolsos,54,0.01607142857142857,21.960976244377353
subcategoria_texto,37,bolsos bisuteria,54,0.01607142857142857,21.960976244377353
subcategoria_texto,38,venta accesorios,54,0.01607142857142857,21.960976244377353
subcategoria_texto,39,comida,35,0.010416666666666666,17.308028230744913
subcategoria_texto,40,comida tradicional,35,0.010416666666666666,17.308028230744913
descripcion_negocio,1,venta,260,0.09815024537561344,76.13674114492304
descripcion_negocio,2,ropa,224,0.0845602114005285,75.98164874644199
descripcion_negocio,3,productos,168,0.06342015855039637,52.89859227967968
descripcion_negocio,4,todo,167,0.06304265760664401,44.60481562966729
descripcion_negocio,5,vendo,142,0.05360513401283503,46.89608619472416
descripcion_negocio,6,accesorios,120,0.045300113250283124,40.78672212803677
descripcion_negocio,7,servicio,96,0.0362400906002265,32.96030606145507
descripcion_negocio,8,comidas,95,0.03586258965647414,35.793677374965995
descripcion_negocio,9,calzado,89,0.033597583993959984,41.93329240919533
descripcion_negocio,10,gaseosas,81,0.030577576443941108,24.53046874174437
descripcion_negocio,11,relacionado,80,0.03020007550018875,25.235017418196
descripcion_negocio,12,todo relacionado,79,0.02982257455643639,25.012617295042286
descripcion_negocio,13,etc,76,0.028690071725179313,23.102663670253722
descripcion_negocio,14,bebidas,72,0.027180067950169876,26.506557397141886
descripcion_negocio,15,dama,71,0.026802567006417515,25.6048826945027
descripcion_negocio,16,bar,69,0.026047565118912798,24.98340898605397
descripcion_negocio,17,jugos,68,0.025670064175160438,22.50570442413335
descripcion_negocio,18,bar licores,65,0.02453756134390336,22.706775403370084
descripcion_negocio,19,licores,65,0.02453756134390336,22.706775403370084
descripcion_negocio,20,unas,62,0.023405058512646282,22.77874785825979
descripcion_negocio,21,almuerzos,60,0.022650056625141562,22.481388817444213
descripcion_negocio,22,rapidas,59,0.022272555681389205,23.216207909118516
descripcion_negocio,23,desayunos,59,0.022272555681389205,19.938224257139485
descripcion_negocio,24,empanadas,58,0.021895054737636845,19.448470959389628
descripcion_negocio,25,comida,57,0.021517553793884484,25.9137973295977
descripcion_negocio,26,comidas rapidas,55,0.020762551906379767,21.94198065995847
descripcion_negocio,27,papeleria,55,0.020762551906379767,20.915977791365446
descripcion_negocio,28,belleza,55,0.020762551906379767,20.1332911586206
descripcion_negocio,29,hogar,54,0.020385050962627407,20.424155642125125
descripcion_negocio,30,muebles,52,0.01963004907512269,25.466420403616254
descripcion_negocio,31,confeccion,52,0.01963004907512269,24.129829591968686
descripcion_negocio,32,perros,52,0.01963004907512269,17.416275620966463
descripcion_negocio,33,aseo,51,0.01925254813137033,16.082382582627346
descripcion_negocio,34,cerveza,49,0.01849754624386561,20.934061685129826
descripcion_negocio,35,celulares,49,0.01849754624386561,20.031224163903136
descripcion_negocio,36,como,48,0.01812004530011325,13.53500549879821
descripcion_negocio,37,mayor,47,0.01774254435636089,18.497621326487327
descripcion_negocio,38,prendas,46,0.01736504341260853,19.054297415489895
descripcion_negocio,39,servicios,46,0.01736504341260853,18.854764197188555
descripcion_negocio,40,reparacion,46,0.01736504341260853,18.164887483743872
otra_categoria_negocio,1,accesorios,132,0.10688259109311742,62.36418968819597
otra_categoria_negocio,2,moda,94,0.07611336032388664,55.67207649232202
otra_categoria_negocio,3,moda accesorios,93,0.07530364372469636,55.484830486561194
otra_categoria_negocio,4,venta,93,0.07530364372469636,37.929169864517725
otra_categoria_negocio,5,comida,71,0.05748987854251012,32.44438703636681
otra_categoria_negocio,6,ropa,67,0.05425101214574899,29.2697944378505
otra_categoria_negocio,7,confecciones,65,0.05263157894736842,37.288187085425726
otra_categoria_negocio,8,confecciones modisteria,64,0.051821862348178135,36.9980811122959
otra_categoria_negocio,9,modisteria,64,0.051821862348178135,36.9980811122959
otra_categoria_negocio,10,confeccion,53,0.04291497975708502,29.188521858343222
otra_categoria_negocio,11,vendo,52,0.042105263157894736,21.928652990487386
otra_categoria_negocio,12,muebles,46,0.03724696356275304,24.877121486740684
otra_categoria_negocio,13,abarrotes,44,0.03562753036437247,41.81071522927932
otra_categoria_negocio,14,servicio,40,0.032388663967611336,16.208126672824392
otra_categoria_negocio,15,productos,39,0.031578947368421054,17.017643628381318
otra_categoria_negocio,16,todo,39,0.031578947368421054,13.582672076715552
otra_categoria_negocio,17,confeccion vemta,38,0.03076923076923077,22.47271831183126
otra_categoria_negocio,18,vemta,38,0.03076923076923077,22.47271831183126
otra_categoria_negocio,19,calzado,38,0.03076923076923077,21.1833481951796
otra_categoria_negocio,20,miscelaneas,34,0.027530364372469637,34.0
otra_categoria_negocio,21,muebles objetos,33,0.026720647773279354,19.499725487607343
otra_categoria_negocio,22,objetos,33,0.026720647773279354,19.499725487607343
otra_categoria_negocio,23,servicios,31,0.025101214574898785,14.786110897143363
otra_categoria_negocio,24,comida rapida,29,0.02348178137651822,17.688237789088365
otra_categoria_negocio,25,rapida,29,0.02348178137651822,17.688237789088365
otra_categoria_negocio,26,comidas,29,0.02348178137651822,14.04234918552425
otra_categoria_negocio,27,otro,24,0.019433198380566803,24.0
otra_categoria_negocio,28,mantenimiento,24,0.019433198380566803,11.024025974541217
otra_categoria_negocio,29,relacionado,22,0.017813765182186234,8.409490355129064
otra_categoria_negocio,30,todo relacionado,22,0.017813765182186234,8.409490355129064
otra_categoria_negocio,31,repuestos,20,0.016194331983805668,10.570426222294714
otra_categoria_negocio,32,mayor,19,0.015384615384615385,9.45149609088991
otra_categoria_negocio,33,reparacion,19,0.015384615384615385,8.756360650073605
otra_categoria_negocio,34,gaseosas,19,0.015384615384615385,7.9075399166347395
otra_categoria_negocio,35,avicola,18,0.014574898785425101,10.392304845413268
otra_categoria_negocio,36,carniceria,18,0.014574898785425101,10.392304845413268
otra_categoria_negocio,37,carniceria avicola,18,0.014574898785425101,10.392304845413268
otra_categoria_negocio,38,general,18,0.014574898785425101,9.114069657574465
otra_categoria_negocio,39,bebidas,18,0.014574898785425101,8.626107857625328
otra_categoria_negocio,40,dama,17,0.013765182186234818,8.977320366543635
tipo_credito,1,credito,3360,1.0,1939.8969044770347
tipo_credito,2,primer,3360,1.0,1939.8969044770347
tipo_credito,3,primer credito,3360,1.0,1939.8969044770347
