campo,valor,n
rubro,sin_marca,988
rubro,restaurantes_y_comidas,650
rubro,belleza_e_higiene,429
rubro,confeccion,304
rubro,comercializacion,286
rubro,artesanias_y_arte,262
rubro,mercado_y_perecederos,258
rubro,miscelanea_y_papeleria,237
educacion,sin_dato,3235
educacion,technical,336
educacion,high_school,323
educacion,professional,234
educacion,primary,40
educacion,postgraduate_studies,33
objetivo_credito,stocking,1599
objetivo_credito,supplies,1300
objetivo_credito,sin_dato,683
objetivo_credito,machinery_and_equipment,321
objetivo_credito,payment_suppliers,252
objetivo_credito,labor_payment,34
objetivo_credito,marketing_and_advertising,12
canal,09,1237
canal,03,784
canal,12,780
canal,07,730
canal,05,639
canal,02,25
canal,10,5
canal,04,1
alianza,05,1452
alianza,02,1237
alianza,03,841
alianza,01,639
alianza,04,31
alianza,06,1
genero,female,2165
genero,male,2029
genero,sin_dato,6
genero,other,1
