rubro,n_creditos,n_mora,tasa_mora
comercializacion,169,80,0.47337278106508873
artesanias_y_arte,203,122,0.6009852216748769
electronica_y_tecnologia,112,68,0.6071428571428571
servicios,124,79,0.6370967741935484
agricultura_y_granja,85,55,0.6470588235294118
confeccion,228,149,0.6535087719298246
mercado_y_perecederos,208,137,0.6586538461538461
sin_marca,984,718,0.7296747967479674
belleza_e_higiene,341,250,0.7331378299120235
bar_y_licores,122,92,0.7540983606557377
restaurantes_y_comidas,540,414,0.7666666666666667
miscelanea_y_papeleria,167,135,0.8083832335329342
