variable,n_validos,q1,q3,limite_inferior,limite_superior,n_extremos,proporcion_extremos
agg9316,3163,0.0,1307.5,-1961.25,3268.75,396,0.12519759721783116
at34af,2396,71.0,100.0,27.5,143.5,388,0.16193656093489148
agg308,3019,150.5,2573.0,-3483.25,6206.75,338,0.11195760185491885
shops_monthly_incomes,3268,1500000.0,4000000.0,-2250000.0,7750000.0,329,0.10067319461444309
credits_family_expenses,2677,200000.0,1000000.0,-1000000.0,2200000.0,317,0.11841613746731416
wd81,2955,4.995,280.0,-407.5125,692.5074999999999,302,0.10219966159052453
tel32s,2675,0.0,307.0,-460.5,767.5,270,0.10093457943925234
shops_monthly_outcomes,2677,530000.0,1950000.0,-1600000.0,4080000.0,257,0.096002988419873
shops_initial_capital,2679,500000.0,5000000.0,-6250000.0,11750000.0,254,0.09481149682717432
tel03s,2705,1.0,2.0,-0.5,3.5,236,0.08724584103512015
shops_daily_incomes,1820,100000.0,200000.0,-50000.0,350000.0,227,0.12472527472527473
shops_shop_age,2683,3.0,7.0,-3.0,13.0,189,0.07044353335818114
utlmag04,1137,277.0,332.0,194.5,414.5,177,0.15567282321899736
sa21s,3320,5.0,22.0,-20.5,47.5,167,0.05030120481927711
duemag01,1693,300.0,372.0,192.0,480.0,116,0.06851742468989959
shops_rent_amount,1196,300000.0,750000.0,-375000.0,1425000.0,67,0.056020066889632104
tranbal09,473,833.0,3670.0,-3422.5,7925.5,42,0.08879492600422834
bi21s,1673,6.0,95.0,-127.5,228.5,29,0.017334130304841603
aepmag01,422,292.25,322.75,246.5,368.5,20,0.04739336492890995
appusers_age,3300,34.0,47.0,14.5,66.5,16,0.0048484848484848485
ri27s,968,0.0,1.0,-1.5,2.5,15,0.015495867768595042
agg2503,352,1.3,8.5,-9.5,19.3,15,0.04261363636363636
lmd34s,164,84.0,100.0,60.0,124.0,14,0.08536585365853659
rle904,24,0.0,586.25,-879.375,1465.625,2,0.08333333333333333
at104s,3331,17.0,67.0,-58.0,142.0,0,0.0
credits_dependants_amount,2677,0.0,3.0,-4.5,7.5,0,0.0
wd03,3210,1.8125,7.1274999999999995,-6.159999999999999,15.099999999999998,0,0.0
g051s,3348,20.0,60.0,-40.0,120.0,0,0.0
at103s,3155,33.0,100.0,-67.5,200.5,0,0.0
