variable,grupo,n_faltantes,proporcion_faltante
rle904,TransUnion,4163,0.9909545346346108
lmd34s,TransUnion,3952,0.940728398000476
agg2503,TransUnion,3553,0.8457510116638896
tranbal09,TransUnion,3468,0.8255177338728874
aepmag01,TransUnion,3380,0.804570340395144
ri27s,TransUnion,2973,0.7076886455605809
shops_rent_amount,formulario,2636,0.6274696500833135
utlmag04,TransUnion,2399,0.5710545108307545
bi21s,TransUnion,1926,0.4584622708878838
duemag01,TransUnion,1672,0.3980004760771245
shops_daily_incomes,formulario,1541,0.3668174244227565
at34af,TransUnion,1078,0.2566055701023566
tel32s,TransUnion,764,0.18186146155677219
tel03s,TransUnion,732,0.17424422756486552
credits_dependants_amount,formulario,684,0.16281837657700549
shops_monthly_outcomes,formulario,683,0.16258033801475838
credits_family_expenses,formulario,683,0.16258033801475838
shops_initial_capital,formulario,682,0.1623422994525113
shops_shop_age,formulario,677,0.16115210664127588
wd81,TransUnion,453,0.10783146869792906
agg308,TransUnion,395,0.09402523208759819
agg9316,TransUnion,230,0.054748869316829325
at103s,TransUnion,216,0.05141632944537015
wd03,TransUnion,169,0.0402285170197572
shops_monthly_incomes,formulario,92,0.021899547726731732
appusers_age,formulario,60,0.014282313734825042
sa21s,TransUnion,42,0.009997619614377529
at104s,TransUnion,30,0.007141156867412521
g051s,TransUnion,13,0.0030945013092120925
