campo,valor,n
descripcion_negocio,Ropa,9
descripcion_negocio,Calzado,9
descripcion_negocio,Zapatos,6
descripcion_negocio,Ropa deportiva,6
descripcion_negocio,Comidas rapidas,6
descripcion_negocio,Comidas rápidas,5
descripcion_negocio,Licor,5
descripcion_negocio,Comidas preparadas,4
descripcion_negocio,Confección de ropa,4
descripcion_negocio,Frutas y verduras,4
descripcion_negocio,Huevos,4
descripcion_negocio,Ropa y calzado,4
descripcion_negocio,Camisetas,4
descripcion_negocio,Perros calientes,4
descripcion_negocio,Víveres y abarrotes,3
descripcion_negocio,Pan,3
descripcion_negocio,Medicamentos,3
descripcion_negocio,Accesorios para celulares,3
descripcion_negocio,Cerveza,3
descripcion_negocio,Publicidad,3
descripcion_negocio,Prendas de vestir,3
descripcion_negocio,Ropa infantil,3
descripcion_negocio,Desayuno y almuerzo,3
descripcion_negocio,Muebles,3
descripcion_negocio,Moda y accesorios,3
descripcion_negocio,Soy manicurista,3
descripcion_negocio,Desayunos y almuerzos,3
descripcion_negocio,Ropa calzado,3
descripcion_negocio,Perfumerías,2
descripcion_negocio,Blusas para dama,2
descripcion_negocio,Confeccion y venta de ropa deportiva,2
descripcion_negocio,Ropa para toda la familia,2
descripcion_negocio,Arreglo de uñas,2
descripcion_negocio,Confección de chaquetas,2
descripcion_negocio,No está en la lista.,2
descripcion_negocio,Desayuno y almuerzos,2
descripcion_negocio,Confecciono chaquetas,2
descripcion_negocio,Bebidas alcoholicas,2
descripcion_negocio,Todo lo relacionado con madera,2
descripcion_negocio,Comida,2
descripcion_negocio,Todo lo relacionado con la belleza,2
descripcion_negocio,Ropa para damas,2
descripcion_negocio,Cortes,2
descripcion_negocio,Helados,2
descripcion_negocio,Repuestos para vehículos,2
descripcion_negocio,Venta de ropa y calzado,2
descripcion_negocio,Limpiones,2
descripcion_negocio,Manicure y pedicure,2
descripcion_negocio,Comida rápida,2
descripcion_negocio,Pijamas,2
descripcion_negocio,Perfumería,2
descripcion_negocio,Artesanías,2
descripcion_negocio,Venta de ropa deportiva,2
descripcion_negocio,Servicios,2
descripcion_negocio,Empanadas,2
descripcion_negocio,Todo para la canasta familiar,2
descripcion_negocio,Comidas,2
descripcion_negocio,Víveres,2
descripcion_negocio,Calzado infantil,2
descripcion_negocio,Cerveza y Bar y Licores,2
descripcion_negocio,Bar y Licores,2
descripcion_negocio,Productos,2
descripcion_negocio,Accesorios,2
descripcion_negocio,Venta de víveres y abarrotes,2
descripcion_negocio,Restaurante,2
descripcion_negocio,Comida y fritos,2
descripcion_negocio,Abarrotes,2
descripcion_negocio,Otros,2
descripcion_negocio,Belleza y estética,2
descripcion_negocio,Tamales,2
otra_categoria_negocio,Moda/accesorios,91
otra_categoria_negocio,Confecciones/modistería,63
otra_categoria_negocio,Abarrotes,40
otra_categoria_negocio,Confección y vemta,38
otra_categoria_negocio,Misceláneas,34
otra_categoria_negocio,Muebles/objetos,32
otra_categoria_negocio,Comida rápida,28
otra_categoria_negocio,Otro,24
otra_categoria_negocio,"Carniceria, Avícola",18
otra_categoria_negocio,Comida corriente,15
otra_categoria_negocio,Comida tradicional,12
otra_categoria_negocio,Confección y venta,11
otra_categoria_negocio,Pastelería/ panadería,9
otra_categoria_negocio,Otra.,7
otra_categoria_negocio,Mensajería/transporte,6
otra_categoria_negocio,Otra,6
otra_categoria_negocio,Maquila,5
otra_categoria_negocio,Belleza y estética,4
otra_categoria_negocio,Calzado,4
otra_categoria_negocio,Ropa y calzado,3
otra_categoria_negocio,Comidas rapidas,3
otra_categoria_negocio,Servicios de alquiler,3
otra_categoria_negocio,Postres,3
otra_categoria_negocio,Accesorios para celulares,3
otra_categoria_negocio,Bebidas y jugos,3
otra_categoria_negocio,Frutas y verduras,3
otra_categoria_negocio,Helados,2
otra_categoria_negocio,Moda y accesorios,2
otra_categoria_negocio,Publicidad,2
otra_categoria_negocio,Eventos,2
otra_categoria_negocio,Artesanía y manualidades,2
otra_categoria_negocio,Ropa,2
otra_categoria_negocio,Venta de ropa y calzado,2
otra_categoria_negocio,Salud y Belleza,2
otra_categoria_negocio,Más de un negocio,2
otra_categoria_negocio,Miselanea,2
otra_categoria_negocio,Ropa deportiva,2
otra_categoria_negocio,Otros,2
otra_categoria_negocio,Comidas rápidas,2
otra_categoria_negocio,Venta de Calzado,2
otra_categoria_negocio,Limpiones,2
otra_categoria_negocio,Zapatos,2
subcategoria_texto,venta de productos para el hogar,1764
subcategoria_texto,comidas rapidas,484
subcategoria_texto,tienda abarrotes,228
subcategoria_texto,esteticas spa,188
subcategoria_texto,arreglos,167
subcategoria_texto,peluqueria y manicuria,127
subcategoria_texto,confeccion y comercializacion,126
subcategoria_texto,construccion,120
subcategoria_texto,venta productos cuidado personal belleza,114
subcategoria_texto,reparacion electrodomesticos,107
