campo,valor,n
subcategoria_texto,venta de productos para el hogar,1764
subcategoria_texto,comidas rapidas,484
subcategoria_texto,tienda abarrotes,228
subcategoria_texto,esteticas spa,188
subcategoria_texto,arreglos,167
subcategoria_texto,peluqueria y manicuria,127
subcategoria_texto,confeccion y comercializacion,126
subcategoria_texto,construccion,120
subcategoria_texto,venta productos cuidado personal belleza,114
subcategoria_texto,reparacion electrodomesticos,107
subcategoria_texto,viveros,96
subcategoria_texto,venta de accesorios bolsos y o bisuteria,73
subcategoria_texto,venta ropa,53
subcategoria_texto,venta de comida tradicional,51
subcategoria_texto,organizacion y decoracion de eventos,44
subcategoria_texto,comidas corrientes,43
subcategoria_texto,mecanica,39
subcategoria_texto,ferreteria,35
subcategoria_texto,publicidad,33
subcategoria_texto,pasteleria panaderia,33
subcategoria_texto,frutas y verduras,32
subcategoria_texto,venta de celulares y accesorios,32
subcategoria_texto,tienda naturista,30
subcategoria_texto,reparacion equipos computo,25
subcategoria_texto,venta de bebidas y jugos,21
subcategoria_texto,venta por catalogo,21
subcategoria_texto,postres,18
subcategoria_texto,plantas ornamentales,14
subcategoria_texto,venta calzado,14
subcategoria_texto,drogueria,12
subcategoria_texto,fabricacion reparacion de muebles,12
subcategoria_texto,maquila,12
subcategoria_texto,carpinteria,10
subcategoria_texto,veterinaria,9
subcategoria_texto,acarreos,6
subcategoria_texto,reparacion equipos celulares,6
subcategoria_texto,venta maquillaje,2
descripcion_negocio,Ropa,9
descripcion_negocio,Calzado,9
descripcion_negocio,Zapatos,6
descripcion_negocio,Ropa deportiva,6
descripcion_negocio,Comidas rapidas,6
descripcion_negocio,Comidas rápidas,5
descripcion_negocio,Licor,5
descripcion_negocio,Comidas preparadas,4
descripcion_negocio,Confección de ropa,4
descripcion_negocio,Frutas y verduras,4
descripcion_negocio,Huevos,4
descripcion_negocio,Ropa y calzado,4
descripcion_negocio,Camisetas,4
descripcion_negocio,Perros calientes,4
descripcion_negocio,Víveres y abarrotes,3
descripcion_negocio,Pan,3
descripcion_negocio,Medicamentos,3
descripcion_negocio,Accesorios para celulares,3
descripcion_negocio,Cerveza,3
descripcion_negocio,Publicidad,3
descripcion_negocio,Prendas de vestir,3
descripcion_negocio,Ropa infantil,3
descripcion_negocio,Desayuno y almuerzo,3
descripcion_negocio,Muebles,3
descripcion_negocio,Moda y accesorios,3
descripcion_negocio,Soy manicurista,3
descripcion_negocio,Desayunos y almuerzos,3
descripcion_negocio,Ropa calzado,3
descripcion_negocio,Perfumerías,2
descripcion_negocio,Blusas para dama,2
descripcion_negocio,Confeccion y venta de ropa deportiva,2
descripcion_negocio,Ropa para toda la familia,2
descripcion_negocio,Arreglo de uñas,2
descripcion_negocio,Confección de chaquetas,2
descripcion_negocio,No está en la lista.,2
descripcion_negocio,Desayuno y almuerzos,2
descripcion_negocio,Confecciono chaquetas,2
descripcion_negocio,Bebidas alcoholicas,2
descripcion_negocio,Todo lo relacionado con madera,2
descripcion_negocio,Comida,2
descripcion_negocio,Todo lo relacionado con la belleza,2
descripcion_negocio,Ropa para damas,2
descripcion_negocio,Cortes,2
descripcion_negocio,Helados,2
descripcion_negocio,Repuestos para vehículos,2
descripcion_negocio,Venta de ropa y calzado,2
descripcion_negocio,Limpiones,2
descripcion_negocio,Manicure y pedicure,2
descripcion_negocio,Comida rápida,2
descripcion_negocio,Pijamas,2
descripcion_negocio,Perfumería,2
descripcion_negocio,Artesanías,2
descripcion_negocio,Venta de ropa deportiva,2
descripcion_negocio,Servicios,2
descripcion_negocio,Empanadas,2
descripcion_negocio,Todo para la canasta familiar,2
descripcion_negocio,Comidas,2
