credito_id_anon,fecha_desembolso,target,set,appusers_age,credits_amount_granted,credits_fee_month_amount_granted,credits_interest_amount,credits_surety_bond_amount,credits_digital_instrumentation_amount,credits_dependants_amount,credits_family_expenses,shops_monthly_incomes,shops_monthly_outcomes,shops_daily_incomes,shops_initial_capital,shops_rent_amount,shops_shop_age,antiguedad_cliente,estimated_income,free_cash_flow,cost_ingress_ratio,debts_savings,score_debets,relacion_edad_deuda,appusers_score,agg308,wd81,agg2503,utlmag04,duemag01,aepmag01,bi21s,lmd34s,ri27s,rle904,tel32s,tranbal09,at104s,sa21s,at103s,tel03s,at34af,g051s,agg9316,wd03,category_agricultura_y_granja,category_artesanias_y_arte,category_bar_y_licores,category_belleza_e_higiene,category_carniceria_y_avicola,category_comercializacion,category_confeccion,category_drogueria_y_medicina,category_electronica_y_tecnologia,category_mercado_y_perecederos,category_miscelanea_y_papeleria,category_restaurantes_y_comidas,category_servicios,category_servicios_y_alquiler,category_transporte_y_logistica,credits_credit_goal_labor_payment,credits_credit_goal_machinery_and_equipment,credits_credit_goal_marketing_and_advertising,credits_credit_goal_nan,credits_credit_goal_payment_suppliers,credits_credit_goal_stocking,credits_credit_goal_supplies,CANAL_10,CANAL_11,CANAL_03,CANAL_08,CANAL_09,CANAL_02,CANAL_06,CANAL_01,CANAL_04,CANAL_05,CANAL_12,CANAL_07,credits_contact_studies_None,credits_contact_studies_college,credits_contact_studies_high_school,credits_contact_studies_nan,credits_contact_studies_postgraduate_studies,credits_contact_studies_primary,credits_contact_studies_professional,credits_contact_studies_technical,ALIANZA_05,ALIANZA_02,ALIANZA_03,ALIANZA_01,ALIANZA_06,ALIANZA_04,appusers_gender_None,appusers_gender_female,appusers_gender_male,appusers_gender_other,subcategoria_texto,descripcion_negocio,otra_categoria_negocio,tipo_credito
647cf659e3d8,2022-07-05,1.0,train,33.0,800000,8,25.0,94160,24000,0.0,300000.0,1200000.0,700000.0,50000.0,0.0,,4.0,622,1000000.0,500000.0,0.5833333333333334,2.9702970297029703,300.0,0.0,100.0,176.0,8.0,-1.0,-2.0,292.0,-2.0,-1.0,-1.0,-3.0,-1.0,-3.0,-1.0,20.0,50.0,-3.0,-3.0,-3.0,20.0,176.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,arreglos,Moda y accesorios,Venta de ropa,Primer Crédito
5758ab339381,2022-07-06,0.0,train,55.0,100000,1,25.0,11770,3000,,,,,,,,,621,,,,,,,,233.0,5.0,-1.0,300.0,300.0,-2.0,-1.0,-1.0,0.0,-1.0,63.0,-1.0,13.0,3.0,0.0,0.0,100.0,67.0,233.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,venta de productos para el hogar,,,Primer Crédito
3964cfbb3cbe,2022-07-06,0.0,train,40.0,100000,1,25.0,11770,3000,,,,,,,,,621,,,,,,,,1306.0,385.0,-1.0,530.0,564.0,-2.0,36.0,-3.0,1.0,-1.0,0.0,-2.0,4.0,11.0,75.0,1.0,298.0,26.0,115.0,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,tienda naturista,,,Primer Crédito
8c3ffebb486d,2022-07-06,1.0,train,42.0,100000,1,25.0,11770,3000,,,,,,,,,621,,,,,,,,3339.0,6.42,-2.0,471.0,412.0,-2.0,2.0,-1.0,-3.0,-1.0,260.0,-2.0,39.0,2.0,100.0,4.0,103.0,9.0,1222.0,4.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,comidas rapidas,,,Primer Crédito
5baa08d0177d,2022-07-06,1.0,train,40.0,100000,1,25.0,11770,3000,,,,,,,,,621,,,,,,,,6280.0,4.89,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,-1.0,-1.0,1670.0,76.0,3.0,100.0,-1.0,92.0,17.0,116.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,comidas rapidas,,,Primer Crédito
82ad81454d87,2022-07-06,0.0,train,39.0,100000,1,25.0,11770,3000,,,,,,,,,621,,,,,,,,305.0,11.0,-2.0,-2.0,280.0,-2.0,17.0,-3.0,-3.0,-1.0,290.0,-2.0,52.0,8.0,80.0,1.0,95.0,18.0,290.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,arreglos,,,Primer Crédito
00689215b92d,2022-07-06,0.0,train,,100000,1,25.0,11770,3000,,,,,,,,,621,,,,,,,,603.0,5.0,-1.0,-2.0,277.0,-2.0,-1.0,-1.0,-1.0,-1.0,-3.0,-1.0,75.0,34.0,100.0,-3.0,-3.0,40.0,85.0,5.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,construccion,,,Primer Crédito
6a3369d83b4a,2022-07-08,1.0,train,,50000,1,25.0,5885,3000,,,,,,,,,619,,,,,,,,59.0,8.0,-1.0,-2.0,300.0,-2.0,-1.0,-1.0,-1.0,-1.0,357.0,-1.0,43.0,23.0,0.0,0.0,-1.0,100.0,791.0,7.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,venta de productos para el hogar,,,Primer Crédito
8cba1090c22a,2022-07-08,1.0,train,54.0,50000,1,25.0,5885,3000,,,,,,,,,619,,,,2.9966703662597114,2700.0,0.0,100.0,9788.0,7.6,-1.0,526.0,442.0,-2.0,69.0,-1.0,1.0,-1.0,-3.0,-1.0,8.0,10.0,67.0,-3.0,266.0,26.0,3154.0,7.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,tienda abarrotes,,,Primer Crédito
389fbb13ce6b,2022-07-08,0.0,train,26.0,100000,1,25.0,11770,3000,,,,,,,,,619,,,,,,,,110.0,8.0,-1.0,300.0,354.0,-2.0,-1.0,-1.0,1.0,-1.0,-1.0,-2.0,67.0,4.0,100.0,-1.0,-5.0,67.0,110.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,comidas rapidas,,,Primer Crédito
