target,set,issue_d,loan_amnt,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,open_acc,pub_rec,revol_bal,revol_util,total_acc,fico_range_low,fico_range_high,inq_last_6mths,emp_title,title,fuente
0,train,2014-01-01,34932,24.47,820.91,F,C1,< 1 year,OWN,21201.13,Not Verified,home_improvement,26.87,4,13,2,15874,74.71,59,745,691,2,synthetic,synthetic loan,smoke
0,train,2014-01-02,27431,8.36,979.59,B,F1,1 year,RENT,73780.79,Verified,credit_card,38.42,4,18,1,42136,13.08,57,743,668,2,synthetic,synthetic loan,smoke
1,train,2014-01-03,11894,18.4,1016.32,C,F4,1 year,MORTGAGE,147601.73,Not Verified,home_improvement,14.84,0,5,2,1764,80.69,20,690,751,5,synthetic,synthetic loan,smoke
0,train,2014-01-04,34042,17.86,573.85,C,C2,1 year,MORTGAGE,154267.82,Not Verified,debt_consolidation,17.0,4,19,0,22319,93.69,45,770,759,4,synthetic,synthetic loan,smoke
0,train,2014-01-05,17976,26.44,591.49,B,A5,< 1 year,OWN,42132.65,Not Verified,debt_consolidation,32.48,1,27,0,40048,60.65,14,756,772,3,synthetic,synthetic loan,smoke
1,train,2014-01-06,18025,16.57,887.86,B,G2,< 1 year,RENT,143893.74,Not Verified,home_improvement,20.23,1,4,2,47648,71.04,29,765,797,2,synthetic,synthetic loan,smoke
0,train,2014-01-07,15745,14.63,373.32,C,B1,< 1 year,MORTGAGE,38512.67,Not Verified,debt_consolidation,29.46,1,10,0,12570,71.36,15,725,733,4,synthetic,synthetic loan,smoke
0,train,2014-01-08,5892,20.99,927.63,G,E1,1 year,RENT,82410.01,Verified,debt_consolidation,18.39,3,21,0,32539,99.28,30,784,780,4,synthetic,synthetic loan,smoke
0,train,2014-01-09,32768,11.66,563.79,A,B4,< 1 year,OWN,179777.52,Not Verified,home_improvement,8.62,3,18,1,9484,34.15,52,714,764,2,synthetic,synthetic loan,smoke
0,train,2014-01-10,1473,8.49,162.81,B,A5,10+ years,MORTGAGE,50814.53,Not Verified,debt_consolidation,29.81,2,20,1,5794,16.29,27,772,702,0,synthetic,synthetic loan,smoke
0,train,2014-01-11,6925,16.95,116.38,A,F3,< 1 year,MORTGAGE,44634.17,Not Verified,credit_card,5.25,0,17,0,17651,51.92,7,688,782,0,synthetic,synthetic loan,smoke
1,train,2014-01-12,8808,15.42,932.51,D,B1,5 years,MORTGAGE,87648.05,Not Verified,debt_consolidation,7.94,4,20,1,44254,53.32,20,694,671,0,synthetic,synthetic loan,smoke
0,train,2014-01-13,10496,10.81,98.9,B,E4,5 years,RENT,119146.96,Verified,debt_consolidation,25.07,1,18,2,34473,17.79,47,733,747,2,synthetic,synthetic loan,smoke
1,train,2014-01-14,5481,14.19,337.45,F,E5,1 year,OWN,169264.13,Not Verified,home_improvement,29.89,0,3,1,24463,61.31,32,737,795,3,synthetic,synthetic loan,smoke
0,train,2014-01-15,1610,14.16,394.18,E,A3,10+ years,MORTGAGE,176931.38,Verified,debt_consolidation,35.79,2,22,1,14140,1.41,34,764,756,4,synthetic,synthetic loan,smoke
0,train,2014-01-16,24040,13.19,223.37,F,B2,< 1 year,RENT,31142.5,Not Verified,debt_consolidation,10.9,2,13,0,7081,92.77,27,701,795,1,synthetic,synthetic loan,smoke
