number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.7510495626822158,2026-08-24 20:54:42.696881,2026-08-24 20:54:42.861045,0 days 00:00:00.164164,0.7993292420985183,0.2536999076681771,4,4,0.000602521573620386,0.00019517224641449495,0.8659969709057025,COMPLETE
1,0.752463556851312,2026-08-24 20:54:42.861116,2026-08-24 20:54:43.077485,0 days 00:00:00.216369,0.5102922471479012,0.07725378389307355,8,20,1.452824663751602,0.0011526449540315614,0.8540362888980227,COMPLETE
2,0.7370481049562683,2026-08-24 20:54:43.077551,2026-08-24 20:54:43.183032,0 days 00:00:00.105481,0.762378215816119,0.018659959624904923,3,9,0.0028585493941961923,0.11462107403425029,0.6521211214797689,COMPLETE
3,0.7390816326530613,2026-08-24 20:54:43.183096,2026-08-24 20:54:43.274828,0 days 00:00:00.091732,0.728034992108518,0.027010527749605478,2,16,0.0009962513222055117,0.03725393839578886,0.6831809216468459,COMPLETE
4,0.7367565597667639,2026-08-24 20:54:43.274887,2026-08-24 20:54:43.493158,0 days 00:00:00.218271,0.5852620618436457,0.011711509955524094,6,2,5.55172168524472,6.732248920775334,0.8037724259507192,COMPLETE
5,0.755932944606414,2026-08-24 20:54:43.493220,2026-08-24 20:54:44.441984,0 days 00:00:00.948764,0.8421165132560784,0.028180680291847244,7,9,0.00040755964400728694,0.02991469302130215,0.5488360570031919,COMPLETE
6,0.749533527696793,2026-08-24 20:54:44.442044,2026-08-24 20:54:44.532357,0 days 00:00:00.090313,0.831261142176991,0.2203821893928988,2,7,0.039841905944346875,0.05414413211338523,0.6293899908000085,COMPLETE
7,0.7429591836734694,2026-08-24 20:54:44.532422,2026-08-24 20:54:44.656022,0 days 00:00:00.123600,0.9697494707820946,0.2705166881899928,3,18,0.09761125443110452,4.067908494359543,0.8875664116805573,COMPLETE
8,0.7472448979591837,2026-08-24 20:54:44.656082,2026-08-24 20:54:44.701507,0 days 00:00:00.045425,0.6626651653816322,0.01947558230629543,2,8,0.002273762810253686,1.3921548533046488,0.522613644455269,COMPLETE
9,0.7463119533527698,2026-08-24 20:54:44.701571,2026-08-24 20:54:44.846823,0 days 00:00:00.145252,0.5704621124873813,0.026000059117302653,4,17,0.0002359137306347715,8.59873733921227,0.7713480415791243,COMPLETE
10,0.74567055393586,2026-08-24 20:54:44.846879,2026-08-24 20:54:45.087722,0 days 00:00:00.240843,0.9352468198873466,0.06690992453172917,7,13,0.01076822941610914,0.004520957335374952,0.984768555393933,COMPLETE
11,0.74865889212828,2026-08-24 20:54:45.087789,2026-08-24 20:54:45.251004,0 days 00:00:00.163215,0.8786594745277075,0.06962550818742679,8,13,0.9802989335982001,0.0019303990443151628,0.5034331983772904,COMPLETE
