modelo,configuracion,n,criterio,umbral,TP,TN,FP,FN,accuracy,precision,recall,f1,costo
gpt-5.5,tu_form_description_few0,631,umbral_0.5,0.5,130,266,117,118,0.6276,0.5263,0.5242,0.5253,707.0
gpt-5.5,tu_form_description_few0,631,costo_minimo,0.22,243,68,315,5,0.4929,0.4355,0.9798,0.603,340.0
gpt-5.5,tu_form_description_full_few0,631,umbral_0.5,0.5,121,270,113,127,0.6197,0.5171,0.4879,0.5021,748.0
gpt-5.5,tu_form_description_full_few0,631,costo_minimo,0.27,236,106,277,12,0.542,0.46,0.9516,0.6202,337.0
gpt-5.5,tu_form_description_full_think_few0,631,umbral_0.5,0.5,115,273,110,133,0.6149,0.5111,0.4637,0.4863,775.0
gpt-5.5,tu_form_description_full_think_few0,631,costo_minimo,0.24,239,84,299,9,0.5119,0.4442,0.9637,0.6081,344.0
gpt-5.5,tu_form_description_think_few0,631,umbral_0.5,0.5,125,267,116,123,0.6212,0.5187,0.504,0.5112,731.0
gpt-5.5,tu_form_description_think_few0,631,costo_minimo,0.23,241,90,293,7,0.5246,0.4513,0.9718,0.6164,328.0
gpt-5.5,tu_form_few0,631,umbral_0.5,0.5,131,260,123,117,0.6197,0.5157,0.5282,0.5219,708.0
gpt-5.5,tu_form_few0,631,costo_minimo,0.19,245,63,320,3,0.4881,0.4336,0.9879,0.6027,335.0
gpt-5.5,tu_form_think_few0,631,umbral_0.5,0.5,126,261,122,122,0.6133,0.5081,0.5081,0.5081,732.0
gpt-5.5,tu_form_think_few0,631,costo_minimo,0.22,243,86,297,5,0.5214,0.45,0.9798,0.6168,322.0
logreg,29vars,631,umbral_0.5,0.5,129,306,77,119,0.6894,0.6262,0.5202,0.5683,672.0
logreg,29vars,631,costo_minimo,0.19,238,82,301,10,0.5071,0.4416,0.9597,0.6048,351.0
qwen3:8b,tu_form_description_few0,616,umbral_0.5,0.5,107,263,110,136,0.6006,0.4931,0.4403,0.4652,790.0
qwen3:8b,tu_form_description_few0,616,costo_minimo,0.06,236,78,295,7,0.5097,0.4444,0.9712,0.6098,330.0
qwen3:8b,tu_form_description_few8,618,umbral_0.5,0.5,118,247,126,127,0.5906,0.4836,0.4816,0.4826,761.0
qwen3:8b,tu_form_description_few8,618,costo_minimo,0.01,136,226,147,109,0.5858,0.4806,0.5551,0.5152,692.0
qwen3:8b,tu_form_description_full_few0,610,umbral_0.5,0.5,96,277,94,143,0.6115,0.5053,0.4017,0.4476,809.0
qwen3:8b,tu_form_description_full_few0,610,costo_minimo,0.07,235,88,283,4,0.5295,0.4537,0.9833,0.6209,303.0
qwen3:8b,tu_form_description_full_few8,609,umbral_0.5,0.5,108,253,115,133,0.5928,0.4843,0.4481,0.4655,780.0
qwen3:8b,tu_form_description_full_few8,609,costo_minimo,0.01,134,233,135,107,0.6026,0.4981,0.556,0.5255,670.0
qwen3:8b,tu_form_few0,605,umbral_0.5,0.5,105,271,98,131,0.6215,0.5172,0.4449,0.4784,753.0
qwen3:8b,tu_form_few0,605,costo_minimo,0.06,231,81,288,5,0.5157,0.4451,0.9788,0.6119,313.0
qwen3:8b,tu_form_few16,320,umbral_0.5,0.5,105,92,56,67,0.6156,0.6522,0.6105,0.6306,391.0
qwen3:8b,tu_form_few16,320,costo_minimo,0.01,106,89,59,66,0.6094,0.6424,0.6163,0.6291,389.0
qwen3:8b,tu_form_few8,607,umbral_0.5,0.5,136,215,153,103,0.5783,0.4706,0.569,0.5152,668.0
qwen3:8b,tu_form_few8,607,costo_minimo,0.01,142,211,157,97,0.5815,0.4749,0.5941,0.5279,642.0
tabpfn,tabpfn,631,umbral_0.5,0.5,47,361,22,201,0.6466,0.6812,0.1895,0.2965,1027.0
tabpfn,tabpfn,631,costo_minimo,0.01,234,120,263,14,0.561,0.4708,0.9435,0.6282,333.0
xgboost,29vars_costos,631,umbral_0.5,0.5,26,370,13,222,0.6276,0.6667,0.1048,0.1812,1123.0
xgboost,29vars_costos,631,costo_minimo,0.05,234,128,255,14,0.5737,0.4785,0.9435,0.635,325.0
xgboost,29vars_optuna,631,umbral_0.5,0.5,37,366,17,211,0.6387,0.6852,0.1492,0.245,1072.0
xgboost,29vars_optuna,631,costo_minimo,0.02,227,144,239,21,0.588,0.4871,0.9153,0.6359,344.0
