modelo,configuracion,segmento,n,validas,cobertura,AUC,Gini,KS,Brier
gpt-5.5,tu_form_few0,total,159,159,1.0,0.7228,0.4456,0.3751,0.2273
gpt-5.5,tu_form_few0,denso,73,73,1.0,0.7335,0.4671,0.4044,0.2217
gpt-5.5,tu_form_few0,esparso,86,86,1.0,0.7041,0.4083,0.3498,0.232
logreg,29vars,total,631,631,1.0,0.7324,0.4649,0.3802,0.2068
logreg,29vars,denso,377,377,1.0,0.7291,0.4583,0.3734,0.1947
logreg,29vars,esparso,254,254,1.0,0.7065,0.4129,0.3654,0.2247
qwen3:8b,tu_form_few0,total,50,47,0.94,0.8462,0.6923,0.5224,0.2614
qwen3:8b,tu_form_few0,denso,24,21,0.875,0.8148,0.6296,0.5,0.3131
qwen3:8b,tu_form_few0,esparso,26,26,1.0,0.8714,0.7429,0.6,0.2197
tabpfn,tabpfn,total,631,631,1.0,0.7656,0.5311,0.424,0.2392
tabpfn,tabpfn,denso,377,377,1.0,0.7707,0.5414,0.4103,0.2207
tabpfn,tabpfn,esparso,254,254,1.0,0.7299,0.4598,0.4313,0.2666
xgboost,29vars_costos,total,631,631,1.0,0.7528,0.5057,0.4035,0.2483
xgboost,29vars_costos,denso,377,377,1.0,0.7647,0.5294,0.3897,0.2252
xgboost,29vars_costos,esparso,254,254,1.0,0.703,0.4061,0.3838,0.2827
xgboost,29vars_optuna,total,631,631,1.0,0.7514,0.5027,0.404,0.2595
xgboost,29vars_optuna,denso,377,377,1.0,0.7539,0.5077,0.3758,0.2339
xgboost,29vars_optuna,esparso,254,254,1.0,0.7196,0.4392,0.3922,0.2975
