variable,psi_train_test
shops_daily_incomes,3.5612714572248114
duemag01,3.3341786127385395
credits_family_expenses,2.611755472282868
credits_dependants_amount,2.327108853214194
shops_monthly_outcomes,2.1171454019633273
shops_shop_age,2.0460791783594074
shops_initial_capital,1.9590353650307812
utlmag04,1.1850624970483379
aepmag01,0.9346543047769666
g051s,0.8848241724524973
wd81,0.8467029659254094
agg2503,0.5349250558853326
bi21s,0.5251952489393306
wd03,0.47160148870030155
agg9316,0.4218407992439548
agg308,0.3883776905600865
at34af,0.347543224389384
tel03s,0.32258934056251853
tranbal09,0.3208737426427005
at103s,0.3190280653077504
shops_monthly_incomes,0.26869359392318776
tel32s,0.2640388253533046
appusers_age,0.14211554918624042
lmd34s,0.1156866571011489
shops_rent_amount,0.10653668284486655
at104s,0.05809998223241729
ri27s,0.03369603671460469
sa21s,0.03248872534707152
rle904,0.022808416777060667
