feature,gain
credits_contact_studies_nan,87.4578628540039
g051s,65.68109130859375
wd81,54.20632553100586
agg308,34.88093566894531
CANAL_09,30.016752243041992
duemag01,28.974016189575195
wd03,19.51654052734375
antiguedad_cliente,18.20963478088379
aepmag01,17.9602108001709
CANAL_07,15.112377166748047
CANAL_12,12.686500549316406
ALIANZA_05,10.753677368164062
utlmag04,10.071370124816895
at103s,10.060154914855957
agg9316,8.989620208740234
tel03s,8.554058074951172
at34af,8.02088451385498
debts_savings,7.815004825592041
CANAL_05,7.748442649841309
shops_initial_capital,7.496465682983398
tranbal09,7.477622032165527
estimated_income,7.36576509475708
appusers_age,7.325707912445068
bi21s,7.250669002532959
at104s,7.246551990509033
tel32s,6.9119391441345215
category_comercializacion,6.903088092803955
score_debets,6.688652992248535
ri27s,6.484493255615234
credits_credit_goal_stocking,6.329204559326172
shops_rent_amount,6.16486930847168
category_bar_y_licores,6.15407133102417
ALIANZA_03,6.108976364135742
agg2503,6.1032562255859375
sa21s,5.673618793487549
appusers_gender_male,5.57858419418335
cost_ingress_ratio,5.468044281005859
credits_family_expenses,5.165347576141357
shops_monthly_incomes,5.163665294647217
shops_daily_incomes,5.145606994628906
shops_monthly_outcomes,5.123248100280762
category_confeccion,5.072140693664551
appusers_gender_female,4.905104637145996
appusers_score,4.862977981567383
free_cash_flow,4.5068278312683105
shops_shop_age,4.477928161621094
credits_credit_goal_machinery_and_equipment,4.462324619293213
relacion_edad_deuda,4.4466328620910645
category_electronica_y_tecnologia,4.328426837921143
credits_dependants_amount,3.8990750312805176
ALIANZA_02,2.8118972778320312
credits_contact_studies_professional,0.0
credits_contact_studies_primary,0.0
credits_contact_studies_postgraduate_studies,0.0
credits_contact_studies_technical,0.0
credits_contact_studies_high_school,0.0
credits_contact_studies_college,0.0
ALIANZA_01,0.0
credits_contact_studies_None,0.0
ALIANZA_06,0.0
ALIANZA_04,0.0
appusers_gender_None,0.0
CANAL_04,0.0
CANAL_06,0.0
CANAL_01,0.0
category_drogueria_y_medicina,0.0
CANAL_02,0.0
category_servicios,0.0
lmd34s,0.0
rle904,0.0
category_agricultura_y_granja,0.0
category_artesanias_y_arte,0.0
category_belleza_e_higiene,0.0
category_carniceria_y_avicola,0.0
category_mercado_y_perecederos,0.0
category_miscelanea_y_papeleria,0.0
category_restaurantes_y_comidas,0.0
category_servicios_y_alquiler,0.0
CANAL_08,0.0
category_transporte_y_logistica,0.0
credits_credit_goal_labor_payment,0.0
credits_credit_goal_marketing_and_advertising,0.0
credits_credit_goal_nan,0.0
credits_credit_goal_payment_suppliers,0.0
credits_credit_goal_supplies,0.0
CANAL_10,0.0
CANAL_11,0.0
CANAL_03,0.0
appusers_gender_other,0.0
