feature,gain
credits_contact_studies_nan,80.84895324707031
ALIANZA_05,67.55929565429688
CANAL_03,40.17476272583008
antiguedad_cliente,34.17955780029297
CANAL_07,19.89952850341797
credits_contact_studies_technical,18.122711181640625
ALIANZA_03,11.747674942016602
CANAL_09,9.321680068969727
shops_initial_capital,8.679245948791504
appusers_age,8.075084686279297
category_electronica_y_tecnologia,7.869403839111328
category_artesanias_y_arte,7.035521030426025
credits_credit_goal_payment_suppliers,6.9330291748046875
category_comercializacion,6.827545642852783
CANAL_12,6.733752250671387
category_bar_y_licores,6.35676383972168
credits_credit_goal_machinery_and_equipment,6.321552276611328
credits_family_expenses,6.186446189880371
credits_credit_goal_stocking,6.183462142944336
category_mercado_y_perecederos,5.804339408874512
category_confeccion,5.692505836486816
estimated_income,5.677309989929199
credits_credit_goal_supplies,5.43417501449585
shops_rent_amount,5.37816047668457
shops_monthly_outcomes,5.378152847290039
shops_daily_incomes,5.213334083557129
shops_monthly_incomes,5.202482223510742
category_restaurantes_y_comidas,5.141101360321045
cost_ingress_ratio,5.111158847808838
credits_dependants_amount,5.035457134246826
ALIANZA_02,4.98382043838501
free_cash_flow,4.779580116271973
shops_shop_age,4.732142925262451
category_servicios,4.722427845001221
appusers_gender_female,4.613245964050293
appusers_score,4.596722602844238
appusers_gender_male,4.165517330169678
category_miscelanea_y_papeleria,2.523501396179199
credits_contact_studies_high_school,1.9504890441894531
appusers_gender_None,0.0
credits_contact_studies_None,0.0
credits_contact_studies_professional,0.0
ALIANZA_01,0.0
credits_contact_studies_primary,0.0
credits_contact_studies_postgraduate_studies,0.0
ALIANZA_06,0.0
credits_contact_studies_college,0.0
ALIANZA_04,0.0
CANAL_08,0.0
CANAL_05,0.0
credits_credit_goal_marketing_and_advertising,0.0
category_belleza_e_higiene,0.0
category_carniceria_y_avicola,0.0
category_drogueria_y_medicina,0.0
category_servicios_y_alquiler,0.0
category_transporte_y_logistica,0.0
credits_credit_goal_labor_payment,0.0
credits_credit_goal_nan,0.0
CANAL_04,0.0
CANAL_10,0.0
CANAL_11,0.0
category_agricultura_y_granja,0.0
CANAL_02,0.0
CANAL_06,0.0
CANAL_01,0.0
appusers_gender_other,0.0
