feature,gain
wd81,14.290081977844238
g051s,9.959134101867676
duemag01,6.276481628417969
wd03,5.725283145904541
aepmag01,4.880978107452393
utlmag04,3.60129714012146
at103s,3.0329089164733887
agg308,2.669215679168701
agg9316,2.6039011478424072
tranbal09,2.5443334579467773
at34af,2.5161943435668945
at104s,2.5071518421173096
tel03s,2.3061742782592773
bi21s,2.278684139251709
lmd34s,2.222123146057129
agg2503,2.180070161819458
sa21s,2.1761083602905273
tel32s,2.1245079040527344
ri27s,1.9660519361495972
rle904,1.5182228088378906
