feature,gain
wd81,36.92836380004883
g051s,35.46201705932617
credits_contact_studies_nan,19.171287536621094
wd03,15.93692398071289
CANAL_09,15.492595672607422
aepmag01,15.21890640258789
antiguedad_cliente,13.646876335144043
utlmag04,11.884434700012207
CANAL_07,10.881576538085938
CANAL_05,10.312905311584473
CANAL_12,9.321395874023438
CANAL_03,8.266132354736328
category_servicios,7.430418968200684
category_artesanias_y_arte,6.393454074859619
credits_credit_goal_machinery_and_equipment,6.1333746910095215
category_electronica_y_tecnologia,5.8357696533203125
category_comercializacion,5.808303356170654
agg308,5.381076335906982
estimated_income,5.022563457489014
appusers_age,4.845767974853516
at104s,4.7916741371154785
ri27s,4.668453216552734
category_bar_y_licores,4.6174540519714355
cost_ingress_ratio,4.483043193817139
category_belleza_e_higiene,4.44493293762207
bi21s,4.337976455688477
shops_monthly_incomes,4.324238300323486
category_miscelanea_y_papeleria,4.195553779602051
shops_monthly_outcomes,4.13513708114624
free_cash_flow,4.1247382164001465
category_restaurantes_y_comidas,3.9665958881378174
appusers_score,3.773528814315796
credits_credit_goal_stocking,3.456371784210205
category_mercado_y_perecederos,3.332286834716797
credits_credit_goal_supplies,2.7840051651000977
category_confeccion,2.5577547550201416
CANAL_06,0.0
credits_contact_studies_high_school,0.0
credits_contact_studies_college,0.0
credits_contact_studies_None,0.0
credits_contact_studies_postgraduate_studies,0.0
rle904,0.0
credits_contact_studies_primary,0.0
credits_contact_studies_professional,0.0
CANAL_04,0.0
CANAL_01,0.0
credits_credit_goal_nan,0.0
CANAL_02,0.0
CANAL_08,0.0
CANAL_11,0.0
CANAL_10,0.0
credits_credit_goal_payment_suppliers,0.0
credits_credit_goal_marketing_and_advertising,0.0
credits_credit_goal_labor_payment,0.0
category_transporte_y_logistica,0.0
category_servicios_y_alquiler,0.0
category_drogueria_y_medicina,0.0
category_carniceria_y_avicola,0.0
category_agricultura_y_granja,0.0
credits_contact_studies_technical,0.0
