feature,gain
credits_contact_studies_nan,41.953269958496094
antiguedad_cliente,18.881467819213867
CANAL_03,17.537372589111328
CANAL_07,12.02318286895752
CANAL_12,4.853948593139648
CANAL_09,4.803072452545166
appusers_age,3.6399128437042236
CANAL_05,3.486391067504883
estimated_income,3.4145116806030273
shops_monthly_outcomes,2.4762585163116455
category_bar_y_licores,2.3509061336517334
category_artesanias_y_arte,2.3284177780151367
category_restaurantes_y_comidas,2.200731039047241
credits_credit_goal_supplies,2.1067070960998535
cost_ingress_ratio,2.1058027744293213
category_comercializacion,1.9222519397735596
free_cash_flow,1.8556610345840454
credits_credit_goal_machinery_and_equipment,1.7307822704315186
category_agricultura_y_granja,1.7143890857696533
category_mercado_y_perecederos,1.6789647340774536
category_belleza_e_higiene,1.6157948970794678
appusers_score,1.5636075735092163
category_electronica_y_tecnologia,1.4589970111846924
category_confeccion,1.455430507659912
shops_monthly_incomes,1.4500882625579834
credits_credit_goal_payment_suppliers,1.3827109336853027
credits_credit_goal_stocking,1.0445313453674316
category_miscelanea_y_papeleria,0.5534056425094604
credits_contact_studies_None,0.0
credits_contact_studies_college,0.0
credits_contact_studies_high_school,0.0
credits_contact_studies_postgraduate_studies,0.0
CANAL_01,0.0
credits_contact_studies_primary,0.0
credits_contact_studies_professional,0.0
CANAL_04,0.0
credits_credit_goal_marketing_and_advertising,0.0
CANAL_06,0.0
CANAL_02,0.0
CANAL_08,0.0
CANAL_11,0.0
CANAL_10,0.0
credits_credit_goal_nan,0.0
credits_credit_goal_labor_payment,0.0
category_transporte_y_logistica,0.0
category_servicios_y_alquiler,0.0
category_servicios,0.0
category_drogueria_y_medicina,0.0
category_carniceria_y_avicola,0.0
credits_contact_studies_technical,0.0
