feature,gain
g051s,50.61310577392578
wd81,42.971641540527344
credits_contact_studies_nan,34.46615219116211
CANAL_07,17.56662368774414
aepmag01,17.477293014526367
wd03,15.964958190917969
CANAL_09,13.88870906829834
utlmag04,12.720684051513672
credits_credit_goal_nan,10.958654403686523
CANAL_05,10.673760414123535
CANAL_03,8.275358200073242
category_comercializacion,7.228532314300537
category_confeccion,5.973852157592773
CANAL_12,5.70939826965332
agg308,5.069502353668213
at104s,4.83067512512207
credits_credit_goal_stocking,4.521872043609619
category_belleza_e_higiene,4.427421569824219
category_restaurantes_y_comidas,3.986635208129883
ri27s,3.927041530609131
bi21s,3.901662588119507
credits_credit_goal_machinery_and_equipment,3.585073232650757
category_bar_y_licores,3.5578224658966064
category_electronica_y_tecnologia,3.424692153930664
category_artesanias_y_arte,2.9208147525787354
credits_credit_goal_supplies,2.3874950408935547
credits_contact_studies_professional,2.216466188430786
category_servicios,0.0
CANAL_06,0.0
credits_contact_studies_primary,0.0
credits_contact_studies_postgraduate_studies,0.0
rle904,0.0
credits_contact_studies_high_school,0.0
credits_contact_studies_college,0.0
credits_contact_studies_None,0.0
category_agricultura_y_granja,0.0
CANAL_04,0.0
CANAL_01,0.0
CANAL_02,0.0
category_servicios_y_alquiler,0.0
category_carniceria_y_avicola,0.0
CANAL_08,0.0
category_drogueria_y_medicina,0.0
CANAL_11,0.0
CANAL_10,0.0
credits_credit_goal_payment_suppliers,0.0
category_mercado_y_perecederos,0.0
credits_credit_goal_marketing_and_advertising,0.0
category_miscelanea_y_papeleria,0.0
credits_credit_goal_labor_payment,0.0
category_transporte_y_logistica,0.0
credits_contact_studies_technical,0.0
