config,n_shots,segment,AUC,Gini,KS,Brier,n
zero-shot,0,total,0.529214840943236,0.05842968188647202,0.041005291005291045,0.37470464646464646,495
zero-shot,0,esparso,0.45989304812834225,-0.0802139037433155,0.05882352941176472,0.44806785714285713,28
zero-shot,0,denso,0.5333272193690388,0.06665443873807764,0.04587307410124719,0.37030599571734474,467
8-shot,8,total,0.5026536677771245,0.005307335554249004,0.03027630805408582,0.42714727272727276,495
8-shot,8,esparso,0.5641711229946524,0.12834224598930488,0.20320855614973254,0.5259321428571428,28
8-shot,8,denso,0.5015590608950844,0.003118121790168793,0.026283932501834195,0.42122441113490366,467
16-shot,16,total,0.527026585668561,0.05405317133712195,0.05408583186360971,0.4272076767676768,495
16-shot,16,esparso,0.7379679144385027,0.4759358288770055,0.46524064171123,0.4905642857142857,28
16-shot,16,denso,0.5155906089508437,0.031181217901687486,0.03411592076302272,0.4234089935760172,467
32-shot,32,total,0.5094062316284539,0.018812463256907774,0.03703703703703698,0.459759797979798,495
32-shot,32,esparso,0.588235294117647,0.17647058823529393,0.2834224598930481,0.5540428571428571,28
32-shot,32,denso,0.5066030814380044,0.013206162876008731,0.04013206162876004,0.45410685224839403,467
