model,segment,AUC,AUC_std,Gini,KS,Brier,eval_type,n,model_name
LLM_fewshot,denso,0.5102746303053582,,0.02054926061071649,0.035721144613020894,0.36651512027491406,test,291.0,Qwen3 few-shot (best)
LLM_fewshot,esparso,0.5750886075949367,,0.15017721518987348,0.17549367088607604,0.5137838235294118,test,204.0,Qwen3 few-shot (best)
LLM_fewshot,total,0.527026585668561,,0.05405317133712195,0.05408583186360971,0.4272076767676768,test,495.0,Qwen3 few-shot (best)
LLM_nothink,denso,0.5395861340503169,,0.07917226810063371,0.04522757826003457,0.3242405498281787,test,291.0,Qwen3 TabLLM zero-shot
LLM_nothink,esparso,0.5081518987341772,,0.01630379746835442,0.027341772151898813,0.44669019607843136,test,204.0,Qwen3 TabLLM zero-shot
LLM_nothink,total,0.529214840943236,,0.05842968188647202,0.041005291005291045,0.37470464646464646,test,495.0,Qwen3 TabLLM zero-shot
LogReg,denso,0.6659994271123297,0.06699953123607039,0.3319988542246597,0.3379531065330701,0.26759385245086087,cv_temporal,5.0,Reg. Logística
LogReg,esparso,0.7107713822990048,0.06316489630639664,0.4215427645980097,0.34892542277643174,0.24679512044882487,cv_temporal,5.0,Reg. Logística
LogReg,total,0.6604611666340061,,0.3209223332680122,0.262933568489124,0.4654422829690456,test_temporal,,Reg. Logística
LogReg,total,0.7103971022097278,0.06794821377300934,0.42079420441945564,0.3504684005734268,0.24919737937253172,cv_temporal,5.0,Reg. Logística
XGBoost,denso,0.7518112489972265,0.13366300495231984,0.503622497994453,0.4563700029383013,0.22948627836027305,cv_temporal,5.0,XGBoost
XGBoost,esparso,0.6997355489785141,0.1415002030937253,0.3994710979570281,0.3690161367943831,0.25654267063733444,cv_temporal,5.0,XGBoost
XGBoost,total,0.7516166960611403,,0.5032333921222807,0.417989417989418,0.46847588661093154,test_temporal,,XGBoost
XGBoost,total,0.7270987928055772,0.13603952166508743,0.4541975856111546,0.40021295830116976,0.2452914878060156,cv_temporal,5.0,XGBoost
