feature,importancia_ganancia_pct
credits_contact_studies_nan,13.26
g051s,10.64
agg308,9.46
wd81,6.99
aepmag01,6.96
duemag01,5.51
CANAL_09,4.09
wd03,3.34
CANAL_12,2.25
at34af,1.94
antiguedad_cliente,1.6
CANAL_07,1.53
credits_dependants_amount,1.53
at103s,1.51
agg9316,1.42
utlmag04,1.4
cost_ingress_ratio,1.17
CANAL_05,1.14
tranbal09,1.13
shops_daily_incomes,1.1
shops_initial_capital,1.06
category_restaurantes_y_comidas,1.04
appusers_age,1.03
debts_savings,1.02
tel03s,1.0
ri27s,0.99
estimated_income,0.89
lmd34s,0.87
category_comercializacion,0.76
tel32s,0.76
score_debets,0.76
credits_family_expenses,0.75
shops_monthly_incomes,0.74
category_bar_y_licores,0.73
CANAL_03,0.73
sa21s,0.71
bi21s,0.7
shops_monthly_outcomes,0.69
agg2503,0.68
at104s,0.65
shops_rent_amount,0.62
free_cash_flow,0.61
shops_shop_age,0.59
appusers_score,0.59
category_electronica_y_tecnologia,0.57
credits_credit_goal_supplies,0.53
credits_credit_goal_stocking,0.53
appusers_gender_female,0.52
category_confeccion,0.48
credits_credit_goal_machinery_and_equipment,0.45
